INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,3903,0.0328,2998
University of Alabama at Birmingham,9562,0.0273,4030
Amridge University,98,0,3068
University of Alabama in Huntsville,4165,0.0367,3955
Alabama State University,4593,0.0054,3254
The University of Alabama,14245,0.0192,4065
Central Alabama Community College,1604,0.0075,964
Athens State University,2739,0,1305
Auburn University at Montgomery,4393,0.0087,2516
Auburn University,18520,0.0058,3715
BESSEMER STATE TECHNICAL COLLEGE,1144,0,860
Birmingham Southern College,1443,0.0118,12021
Chattahoochee Valley Community College,1546,0,888
CHAUNCEY SPARKS STATE TECHNICAL COLLEGE,592,0,918
Concordia College Alabama,564,0.0213,3539
DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE,557,0,701
South University-Montgomery,207,0,7752
Enterprise State Community College,1378,0.0022,971
James H Faulkner State Community College,2542,0.002,990
Faulkner University,522,0.0096,3156
FAULKNER UNIVERSITY-BIRMINGHAM,498,0,3151
FAULKNER UNIVERSITY,498,0,3151
GADSDEN BUSINESS COLLEGE,140,0,860
Gadsden State Community College,4598,0,972
GADSDEN BUSINESS COLLEGE-ANNISTON,187,0,1125
George C Wallace State Community College-Dothan,2585,0.0015,913
George C Wallace State Community College-Hanceville,4512,0.0009,705
George C Wallace State Community College-Selma,1576,0,910
HARRY M AYERS STATE TECHNICAL COLLEGE,769,0,875
Herzing University-Birmingham,503,0,5284
Huntingdon College,687,0.0291,4160
Heritage Christian University,151,0.0397,4660
J F Drake State Community and Technical College,613,0.0212,815
Jacksonville State University,6391,0.0253,2468
Jefferson Davis Community College,1095,0,1030
Jefferson State Community College,2997,0.03,1143
John C Calhoun State Community College,6102,0,960
JOHN M PATTERSON STATE TECHNICAL COLLEGE,888,0,1290
Judson College,322,0.0155,5463
Lawson State Community College-Birmingham Campus,1361,0.0007,1124
University of West Alabama,1817,0.0121,2394
Lurleen B Wallace Community College,807,0,944
Marion Military Institute,164,0.0061,35814
Miles College,1390,0,5337
University of Mobile,1707,0.0258,7358
University of Montevallo,2686,0.0175,3082
Northwest-Shoals Community College,3136,0.008,963
University of North Alabama,5090,0.0004,2571
Northeast Alabama Community College,1284,0,783
Oakwood University,1805,0.1346,6384
Alabama Southern Community College,1123,0,875
Prince Institute-Southeast,92,0,3758
Reid State Technical College,483,0,837
Bishop State Community College,3660,0.0019,986
Samford University,2852,0,8192
Shelton State Community College,4337,0,1088
Snead State Community College,1785,0,787
University of South Alabama,4582,0.05,5500
UNIVERSITY OF SOUTH ALABAMA-BALDWIN,4576,0.05,5500
SOUTHERN COMMUNITY COLLEGE,94,0,8681
Spring Hill College,1075,0.0112,8047
Southeastern Bible College,170,0.0882,3864
Stillman College,1017,0.0108,6106
Talladega College,608,0.0016,5803
H Councill Trenholm State Community College,560,0.0018,818
TROY STATE UNIVERSITY-DOTHAN,1619,0,2658
TROY STATE UNIVERSITY-PHENIX CITY,2464,0.0304,5805
TROY STATE UNIVERSITY-MONTGOMERY,2578,0,2253
Troy University,2472,0.0303,5809
Tuskegee University,2682,0.0209,0
United States Sports Academy,NULL,NULL,7145
BEVILL STATE COMMUNITY COLLEGE-WALKER COLLEGE CAMP,1601,0,626
Bevill State Community College,1604,0.0006,2109
University of Alaska Anchorage,7535,0.0263,1731
University of Alaska Fairbanks,4125,0.023,1853
University of Alaska Southeast,997,0.0361,1201
Alaska Pacific University,365,0.0219,7372
AVTEC-Alaska's Institute of Technology,325,0,1143
Charter College-Anchorage,415,0,9474
NEW CONCEPTS BEAUTY SCHOOL INC,21,0,1474
PRINCE WILLIAM SOUND COMMUNITY COLLEGE,110,0.0182,2362
SHELDON JACKSON COLLEGE,178,0.0056,243955
Alaska Career College,113,0,7356
Collins College,1114,0,8158
Empire Beauty School-Paradise Valley,123,0,6084
Empire Beauty School-Tucson,111,0,3714
Thunderbird School of Global Management,NULL,NULL,18877
American Indian College Inc,71,0,3556
American Institute of Technology,106,0,10265
Carrington College-Phoenix,91,0,15403
Carrington College-Mesa,81,0,15049
Carrington College-Tucson,81,0,15049
CollegeAmerica-Flagstaff,82,0,4532
Arizona Academy of Beauty-East,52,0,6771
Arizona Automotive Institute,516,0,5631
Brookline College-Phoenix,235,0,2602
Arizona State University-Tempe,32310,0.0376,4556
Arizona Western College,3902,0.0018,1003
University of Arizona,25138,0.0386,5313
Southwest University of Visual Arts-Tucson,121,0,7502
SCOTT COLE ACADEMY,74,0,1849
Central Arizona College,1892,0.0164,2409
Brown Mackie College-Tucson,422,0,3703
Charles of Italy Beauty College,26,0.0385,1432
Cochise County Community College District,3270,0.0092,1219
Empire Beauty School-Flagstaff,41,0,5167
Empire Beauty School-Chandler,29,0,5165
Cortiva Institute-Tucson,128,0,7653
DEVOE COLLEGE OF BEAUTY,36,0,929
DEVRY INSTITUTE OF TECHNOLOGY,3699,0.0035,5493
Avalon School of Cosmetology-Mesa,105,0,1981
Eastern Arizona College,2779,0.0043,668
Glendale Community College,5614,0.0062,1289
Grand Canyon University,1594,0.0364,9601
HIGH-TECH INSTITUTE,1039,0,7356
International Academy of Hair Design,70,0.0286,636
LAMSON JUNIOR COLLEGE,162,0,4427
LONG MEDICAL INSTITUTE,211,0,5240
MARICOPA BEAUTY COLLEGE,43,0,1794
GateWay Community College,5806,0.004,2594
Mesa Community College,6189,0.017,1386
ITT Technical Institute-Tucson,210,0.0476,3165
ITT Technical Institute-Tempe,400,0.0575,8193
Mohave Community College,1241,0,545
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,613,0.0228,265606
MUNDUS INSTITUTE,56,0.0357,2067
Dine College,1875,0,543
Northern Arizona University,13732,0.0173,3217
Northland Pioneer College,2108,0,856
Ottawa University-Phoenix,936,0,2437
PHOENIX ACADEMY OF BEAUTY,123,0,2914
Phoenix College,3750,0.0109,1344
Cortiva Institute-Scottsdale,49,0,2823
