INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,5029,0.0266,4464
University of Alabama at Birmingham,11060,0.0239,4856
Amridge University,371,0,8901
University of Alabama in Huntsville,5232,0.0361,4734
Alabama State University,4455,0.0036,5431
The University of Alabama,17372,0.0108,5511
Central Alabama Community College,2136,0,1124
Athens State University,2436,0,2094
Auburn University at Montgomery,4300,0.0047,3891
Auburn University,19222,0.0073,7516
Lawson State Community College-Bessemer Campus,1579,0,641
Birmingham Southern College,1324,0.003,8204
Chattahoochee Valley Community College,1843,0,4527
Concordia College Alabama,850,0.0188,2526
South University-Montgomery,411,0.0024,13482
Enterprise State Community College,1630,0,1731
James H Faulkner State Community College,3102,0,1604
Faulkner University,2062,0.0034,5889
Gadsden Business College,71,0,5130
Gadsden State Community College,5421,0.028,1866
George C Wallace State Community College-Dothan,3500,0,1511
George C Wallace State Community College-Hanceville,4786,0,1799
George C Wallace State Community College-Selma,1719,0.0006,1638
Herzing University-Birmingham,371,0,8683
Huntingdon College,790,0.0266,6763
Heritage Christian University,107,0.0561,8314
J F Drake State Community and Technical College,722,0,1295
Jacksonville State University,7159,0.008,3944
Jefferson Davis Community College,1030,0,745
Jefferson State Community College,5850,0.0176,2262
John C Calhoun State Community College,8659,0,1989
Judson College,331,0.0121,3652
Lawson State Community College-Birmingham Campus,1584,0,1045
University of West Alabama,1727,0.0139,4521
Lurleen B Wallace Community College,1268,0,1217
Marion Military Institute,256,0,18657
Miles College,1758,0.0006,4862
University of Mobile,1549,0.0381,6866
University of Montevallo,2558,0.0192,4464
Northwest-Shoals Community College,3380,0,1641
University of North Alabama,5016,0.0592,4164
Northeast Alabama Community College,1877,0,1981
Oakwood University,1751,0.0668,9005
Alabama Southern Community College,1233,0,1040
Prince Institute-Southeast,38,0,9289
Reid State Technical College,536,0,1202
Bishop State Community College,3920,0.0003,1217
Samford University,2879,0.0052,11793
Shelton State Community College,5002,0,1649
Snead State Community College,1737,0,1621
University of South Alabama,9957,0.0495,3749
Southern Community College,76,0,5667
Spring Hill College,1174,0.0085,8525
Southeastern Bible College,232,0,6779
Stillman College,804,0.005,7994
Talladega College,368,0,5776
H Councill Trenholm State Community College,1403,0,1307
Troy University,18501,0.0222,4926
Tuskegee University,2510,0.0112,12120
United States Sports Academy,44,0,11767
Bevill State Community College,3695,0.0005,1415
University of Alaska Anchorage,10064,0.023,3580
University of Alaska Fairbanks,4862,0.0212,4115
University of Alaska Southeast,1280,0.0266,3537
Alaska Pacific University,477,0.0042,10476
AVTEC-Alaska's Institute of Technology,358,0,3168
Charter College-Anchorage,417,0,9952
Prince William Sound Community College,113,0.0265,1176
Sheldon Jackson College,122,0,6882
Alaska Career College,249,0,7364
Everest College-Phoenix,804,0,8661
Collins College,979,0,11614
Empire Beauty School-Paradise Valley,53,0,8010
Empire Beauty School-Tucson,190,0,6248
Thunderbird School of Global Management,NULL,NULL,34150
American Indian College Inc,62,0,11487
American Institute of Technology,254,0,12988
Carrington College-Phoenix,2598,0,10640
CollegeAmerica-Flagstaff,227,0,9491
Arizona Academy of Beauty-East,59,0,5594
Arizona Automotive Institute,737,0,24282
Brookline College-Phoenix,378,0,7220
Arizona State University-Tempe,39649,0.0273,6468
Arizona Western College,5625,0.1109,749
University of Arizona,28023,0.0275,6317
Southwest University of Visual Arts-Tucson,321,0,8885
Toni & Guy Hairdressing Academy,95,0.0105,4909
Central Arizona College,4155,0.0051,862
Brown Mackie College-Tucson,382,0.089,4339
Charles of Italy Beauty College,48,0,6314
Cochise County Community College District,3272,0.0021,624
Empire Beauty School-Flagstaff,62,0,5391
Empire Beauty School-Chandler,134,0,6559
Cortiva Institute-Tucson,169,0,10089
DeVoe College of Beauty,73,0,3679
DeVry University-Arizona,1340,0.0075,10446
Avalon School of Cosmetology-Mesa,197,0,3376
Eastern Arizona College,4034,0.0067,544
Embry-Riddle Aeronautical University-Prescott,1644,0.0286,13468
Glendale Community College,4226,0.0109,1303
Grand Canyon University,2066,0.0189,5483
High-Tech Institute-Phoenix,2853,0,23230
International Academy of Hair Design,79,0,1116
Lamson College,250,0,8650
Long Technical College,388,0,1212
Maricopa Beauty College,124,0.0161,7005
GateWay Community College,6767,0.009,1216
Mesa Community College,7621,0.0097,1473
ITT Technical Institute-Tucson,469,0,14720
ITT Technical Institute-Tempe,734,0,13303
Mohave Community College,516,0,939
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,3026,0.004,9361
Mundus Institute,140,0,3371
Dine College,1753,0,1104
Northern Arizona University,13115,0.021,4043
Northland Pioneer College,1575,0.0006,1044
Ottawa University-Phoenix,857,0,7374
Artistic Beauty Colleges-Phoenix,149,0,8681
Phoenix College,4268,0.0094,1249
Cortiva Institute-Scottsdale,230,0,6797
University of Phoenix-Phoenix-Hohokam Campus,5898,0.0627,8184
Pima Community College,25113,0.0094,1259
Pima Medical Institute-Tucson,690,0,4719
Pima Medical Institute-Albuquerque,521,0,4793
Prescott College,752,0.0013,7182
Refrigeration School Inc,307,0,8916
Rio Salado College,857,0,1849
Roberto-Venn School of Luthiery,34,0.0588,8589
Hair Academy of Safford,39,0,4120
Scottsdale Community College,2695,0.0108,1829
South Mountain Community College,1667,0.0096,1225
Long Technical College-East Valley,144,0,2093
Arizona Christian University,279,0.0036,8619
Tucson College,207,0,9672
Universal Technical Institute of Arizona Inc,3516,0.0009,5624
Western International University,49837,0.02,4654
Empire Beauty School-NW Phoenix,154,0,7587
Yavapai College,4035,0.0002,1819
University of Arkansas at Little Rock,9349,0.015,4720
University of Arkansas for Medical Sciences,836,0.0036,6609
ABC Beauty College Inc,57,0,3303
Arkansas Baptist College,287,0,3464
Arkansas Beauty School-Little Rock,25,0,259
Lyon College,469,0.0235,4744
Arkansas College of Barbering and Hair Design,56,0,4432
Arthur's Beauty College Inc-Fort Smith,46,0,2299
University of Arkansas,13654,0.0192,4778
University of Arkansas at Pine Bluff,3100,0.0068,1620
Arkansas State University-Beebe,3104,0.0006,1463
Arkansas State University-Main Campus,8650,0.0096,2638
Arkansas Tech University,6162,0.0201,2795
University of Arkansas at Monticello,2788,0.0018,1410
Arthur's Beauty College Inc-Jacksonville,94,0,1771
Baptist Health College-Little Rock,993,0.001,1493
Bee Jays Academy,31,0,2520
Black River Technical College,1430,0,919
University of Central Arkansas,9909,0.0219,2886
Central Baptist College,392,0,4662
Blytheville Academy of Cosmetology,16,0,1276
Cossatot Community College of the University of Arkansas,667,0.003,1078
Crowley's Ridge College,105,0.019,5464
Crowley's Ridge Technical Institute,269,0,709
De Luxe Beauty School,16,0,1230
East Arkansas Community College,1268,0.0008,895
Eastern College of Health Vocations-Little Rock,385,0,6790
Imagine-Paul Mitchell Partner School,7,0,1263
National Park Community College,2153,0,1278
University of Arkansas Community College-Batesville,1007,0,834
Harding University Graduate School of Religion,NULL,NULL,6855
Harding University,4124,0.0359,7420
Henderson State University,2728,0.0231,4413
Hendrix College,1010,0.005,7234
