INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4112,0.001,4626
University of Alabama at Birmingham,10854,0.0161,7289
Amridge University,360,0,11969
University of Alabama in Huntsville,5755,0.0259,7264
Alabama State University,4719,0.0049,7220
The University of Alabama,25613,0.0162,10179
Central Alabama Community College,2338,0.0004,1679
Athens State University,3218,0.0071,4356
Auburn University at Montgomery,4403,0.0111,5991
Auburn University,20436,0.0066,11043
Birmingham Southern College,1305,0,12707
Chattahoochee Valley Community College,1557,0,1408
Concordia College Alabama,719,0.0111,5781
South University-Montgomery,642,0,6383
Enterprise State Community College,2480,0.0016,2025
James H Faulkner State Community College,4258,0.0005,2061
Faulkner University,2689,0.0182,10041
Gadsden State Community College,6459,0.0124,988
New Beginning College of Cosmetology,40,0,3249
George C Wallace State Community College-Dothan,4696,0.0004,1467
George C Wallace State Community College-Hanceville,5302,0.0047,1861
George C Wallace State Community College-Selma,1836,0.0011,1089
Herzing University-Birmingham,330,0,12867
Huntingdon College,1110,0.0072,8993
Heritage Christian University,59,0.0339,9735
J F Drake State Community and Technical College,1087,0.0083,971
Jacksonville State University,7810,0.0233,5520
Jefferson Davis Community College,1190,0,939
Jefferson State Community College,8444,0.0078,2360
John C Calhoun State Community College,11134,0.0027,2164
Judson College,341,0.0029,5022
Lawson State Community College-Birmingham Campus,4076,0.0012,1651
University of West Alabama,2066,0.0348,8360
Lurleen B Wallace Community College,1581,0.0006,1293
Marion Military Institute,406,0,4904
Miles College,1630,0,4496
University of Mobile,1534,0.0254,9818
University of Montevallo,2525,0.0222,5794
Northwest-Shoals Community College,3473,0.0006,1284
University of North Alabama,5649,0.0542,5647
Northeast Alabama Community College,2888,0.0042,1767
Oakwood University,1930,0.0736,10189
Alabama Southern Community College,1342,0,2844
Prince Institute-Southeast,111,0,12213
Reid State Technical College,609,0,1421
Bishop State Community College,3397,0.0333,1410
Samford University,2927,0.0089,15564
Selma University,507,0,189
Shelton State Community College,5077,0,2239
Snead State Community College,2170,0,1475
University of South Alabama,11403,0.0417,6039
Spring Hill College,1254,0.0056,10644
Southeastern Bible College,174,0.0057,9869
Stillman College,1072,0,8793
Talladega College,712,0,9803
H Councill Trenholm State Community College,1666,0,1389
Troy University,20391,0.0203,7014
Tuskegee University,2683,0.0101,11606
United States Sports Academy,129,0,10818
Bevill State Community College,3874,0.0005,1484
University of Alaska Anchorage,13326,0.0215,5178
Alaska Bible College,28,0,4900
University of Alaska Fairbanks,5954,0.0175,6084
University of Alaska Southeast,1662,0.0048,5434
Alaska Pacific University,412,0,13060
AVTEC-Alaska's Institute of Technology,607,0,3711
Charter College-Anchorage,1651,0.0454,14426
Prince William Sound Community College,154,0.0195,3199
Alaska Career College,381,0,10260
