INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4206,0.0059,9427
University of Alabama at Birmingham,11383,0.0179,9899
Amridge University,291,0,12459
University of Alabama in Huntsville,5451,0.0332,8956
Alabama State University,4811,0.0243,7733
The University of Alabama,29851,0.0268,12791
Central Alabama Community College,1592,0,2100
Athens State University,2991,0.0057,5476
Auburn University at Montgomery,4304,0.0397,8071
Auburn University,20514,0.01,14135
Birmingham Southern College,1180,0,10266
Chattahoochee Valley Community College,1727,0,1641
Concordia College Alabama,322,0.0466,5768
South University-Montgomery,522,0.0019,14833
Enterprise State Community College,1729,0.0012,2055
James H Faulkner State Community College,4286,0.0007,2423
Faulkner University,2367,0.0182,11127
Gadsden State Community College,4917,0.015,1702
New Beginning College of Cosmetology,115,0,7986
George C Wallace State Community College-Dothan,4293,0,1928
George C Wallace State Community College-Hanceville,4920,0.0059,2551
George C Wallace State Community College-Selma,1513,0.004,1184
Herzing University-Birmingham,302,0,11395
Huntingdon College,1149,0.0061,10131
Heritage Christian University,62,0.0161,10966
J F Drake State Community and Technical College,974,0,1292
Jacksonville State University,7060,0.0234,6447
Jefferson Davis Community College,1033,0,1178
Jefferson State Community College,7443,0.0054,2708
John C Calhoun State Community College,9380,0.0062,3170
Judson College,376,0.0133,8101
Lawson State Community College-Birmingham Campus,2905,0.0028,1374
University of West Alabama,1916,0.06,7928
Lurleen B Wallace Community College,1393,0.0022,1684
Marion Military Institute,433,0,3286
Miles College,1778,0,5202
University of Mobile,1460,0.0363,9947
University of Montevallo,2644,0.0136,7568
Northwest-Shoals Community College,3304,0.0033,1624
University of North Alabama,5485,0.0425,6702
Northeast Alabama Community College,2225,0.0045,1845
Oakwood University,1878,0.0783,11693
Alabama Southern Community College,1180,0.0008,1528
Prince Institute-Southeast,84,0,24156
Reid State Technical College,425,0,1888
Bishop State Community College,2927,0.0198,1494
Samford University,3033,0.0297,18352
Selma University,472,0,7596
Shelton State Community College,4755,0.0015,2132
Snead State Community College,2098,0.0086,2171
University of South Alabama,11267,0.0382,7295
Spring Hill College,1215,0.0222,12082
Southeastern Bible College,170,0.0059,10634
Stillman College,1056,0.0019,21345
Talladega College,819,0,18039
H Councill Trenholm State Community College,1230,0.0008,2493
Troy University,15025,0.0282,8632
Tuskegee University,2588,0.0027,14104
United States Sports Academy,90,0,14687
Bevill State Community College,3210,0,1961
University of Alaska Anchorage,12865,0.0181,5843
Alaska Bible College,27,0,8132
University of Alaska Fairbanks,5536,0.011,6491
University of Alaska Southeast,1428,0.0049,6117
Alaska Pacific University,275,0,13383
AVTEC-Alaska's Institute of Technology,889,0,4340
Charter College-Anchorage,3256,0,8755
Alaska Career College,479,0,11905
Everest College-Phoenix,4102,0,13130
Collins College,83,0,33714
Empire Beauty School-Paradise Valley,25,0,8183
Empire Beauty School-Tucson,126,0,8029
Thunderbird School of Global Management,1,0,71514
American Indian College Inc,89,0,3313
American Institute of Technology,266,0,7854
Carrington College-Phoenix,617,0,13638
Carrington College-Mesa,718,0,14755
Carrington College-Tucson,424,0,13497
CollegeAmerica-Flagstaff,176,0,17541
Arizona Academy of Beauty-East,32,0,10287
Arizona Automotive Institute,628,0,17356
Brookline College-Phoenix,1357,0.0007,16664
Arizona State University-Tempe,39316,0.0942,12460
Arizona Western College,7218,0.0313,679
University of Arizona,32646,0.0574,12441
Southwest University of Visual Arts-Tucson,161,0,19099
Central Arizona College,5275,0.0036,1192
Brown Mackie College-Tucson,611,0,10380
Charles of Italy Beauty College,54,0,8454
Cochise County Community College District,3759,0.004,744
Empire Beauty School-Flagstaff,60,0,8056
Empire Beauty School-Chandler,97,0,8320
Cortiva Institute-Tucson,130,0,7758
Avalon School of Cosmetology-Mesa,360,0,7516
Eastern Arizona College,4634,0.0093,752
Embry-Riddle Aeronautical University-Prescott,1971,0.0989,26607
Frank Lloyd Wright School of Architecture,NULL,NULL,52798
Glendale Community College,16156,0.0106,1489
Grand Canyon University,38905,0,10550
International Academy of Hair Design,188,0,9428
GateWay Community College,5211,0.0161,2394
Mesa Community College,19055,0.0257,1957
ITT Technical Institute-Tucson,400,0,19470
ITT Technical Institute-Tempe,445,0,19621
Mohave Community College,4044,0,1568
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1724,0.0012,9773
Dine College,1420,0,157
Northern Arizona University,23189,0.0482,7331
Northland Pioneer College,1691,0,1245
Ottawa University-Phoenix,345,0.0029,6371
Phoenix College,9921,0.0042,1488
Cortiva Institute-Scottsdale,87,0,7936
Pima Community College,24590,0.0072,1742
Pima Medical Institute-Tucson,1948,0.0005,6165
Pima Medical Institute-Albuquerque,892,0,5857
Prescott College,454,0.0485,17501
Refrigeration School Inc,695,0.0029,10449
Rio Salado College,8366,0.0053,2724
Roberto-Venn School of Luthiery,42,0.0714,10458
Hair Academy of Safford,85,0,3587
Scottsdale Community College,7335,0.0125,2294
South Mountain Community College,3653,0.0049,982
Arizona Christian University,620,0.021,9345
Tucson College,356,0,12540
Universal Technical Institute of Arizona Inc,2340,0.0004,12401
Western International University,996,0.012,8252
Empire Beauty School-NW Phoenix,126,0,8236
Yavapai College,5359,0.0022,2060
University of Arkansas at Little Rock,7942,0.0283,6640
University of Arkansas for Medical Sciences,711,0.007,12646
ABC Beauty College Inc,38,0,6541
Arkansas Baptist College,896,0.0089,8166
Arkansas Beauty School-Little Rock,49,0,5590
Arkansas Beauty College,33,0,7668
Lyon College,690,0.0333,9009
Arkansas College of Barbering and Hair Design,204,0,8127
Arthur's Beauty College Inc-Fort Smith,46,0,11169
University of Arkansas,21405,0.0279,7143
University of Arkansas at Pine Bluff,2391,0.0071,2164
Arkansas State University-Beebe,2999,0.007,1750
Arkansas State University-Main Campus,9139,0.0556,3633
Arkansas Tech University,8845,0.0353,3668
University of Arkansas at Monticello,2885,0.0038,2942
Arthur's Beauty College Inc-Jacksonville,56,0,10747
Baptist Health College-Little Rock,802,0,4441
Black River Technical College,1547,0,1435
University of Central Arkansas,9232,0.0379,4697
Central Baptist College,788,0.0317,8783
Cossatot Community College of the University of Arkansas,1033,0,1165
Crowley's Ridge College,173,0,7679
Crowley's Ridge Technical Institute,212,0,439
East Arkansas Community College,732,0,1538
Eastern College of Health Vocations-Little Rock,205,0,5332
Imagine-Paul Mitchell Partner School,398,0,6347
National Park Community College,2269,0,1809
University of Arkansas Community College-Batesville,1067,0.0028,1221
Harding University,4485,0.064,12463
Henderson State University,3226,0.0096,3067
Hendrix College,1322,0.0408,11902
Hot Springs Beauty College,43,0,9965
Jefferson Regional Medical Center School of Nursing,73,0,3541
John Brown University,1742,0.0597,10593
Lees School of Cosmetology,28,0,5087
Career Academy of Hair Design,344,0,11468
Academy of Salon and Spa,102,0,8019
Arkansas State University Mid-South,1127,0.0009,7747
Arkansas Northeastern College,1037,0,1285
Margaret's Hair Academy Inc,45,0,5339
New Tyler Barber College Inc,67,0,4526
North Arkansas College,1662,0.0018,942
