INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,5292,0.0329,3556
University of Alabama at Birmingham,10381,0.0353,3988
Amridge University,336,0,6970
University of Alabama in Huntsville,4966,0.0298,4069
Alabama State University,4941,0.003,2683
The University of Alabama,15548,0.0114,4039
Central Alabama Community College,1992,0,635
Athens State University,2421,0,1526
Auburn University at Montgomery,4355,0.009,3912
Auburn University,19145,0.0078,5879
BESSEMER STATE TECHNICAL COLLEGE,1050,0,1044
Birmingham Southern College,1303,0.0046,NULL
SHELTON STATE COMMUNITY COLLEGE-C A FREDD CAMPUS,289,0,4771
Chattahoochee Valley Community College,1671,0,1081
Concordia College Alabama,851,0.0423,4588
LURLEEN B WALLACE COMMUNITY COLLEGE-MACARTHUR CAMPUS,475,0,874
South University-Montgomery,363,0,11066
Enterprise State Community College,1880,0,1282
James H Faulkner State Community College,2277,0,1390
Faulkner University,580,0.0069,5131
FAULKNER UNIVERSITY-BIRMINGHAM,556,0.0018,5124
FAULKNER UNIVERSITY,556,0.0018,5124
GADSDEN BUSINESS COLLEGE,151,0,4516
Gadsden State Community College,2934,0.0327,2900
GADSDEN BUSINESS COLLEGE-ANNISTON,149,0,4516
George C Wallace State Community College-Dothan,3583,0,1241
George C Wallace State Community College-Hanceville,4250,0.0026,1540
George C Wallace State Community College-Selma,1919,0,927
GADSDEN STATE COMMUNITY COLLEGE-AYERS CAMPUS,2925,0.0321,1128
Herzing University-Birmingham,428,0,7388
Huntingdon College,658,0.0319,6679
Heritage Christian University,116,0.0948,7383
J F Drake State Community and Technical College,786,0,1008
Jacksonville State University,7289,0.0112,3333
Jefferson Davis Community College,1291,0,952
Jefferson State Community College,5669,0.0268,1838
John C Calhoun State Community College,8923,0,1608
H COUNCILL TRENHOLM STATE TECHNICAL COLLEGE-PATTERSON CAMPUS,943,0,1038
Judson College,366,0.0082,6313
Lawson State Community College-Birmingham Campus,2433,0,911
University of West Alabama,1686,0.0113,3317
Lurleen B Wallace Community College,832,0,1008
Marion Military Institute,173,0.0289,26301
Miles College,1660,0,6877
University of Mobile,1670,0.0186,6370
University of Montevallo,2596,0.0166,3400
Northwest-Shoals Community College,4325,0.0009,1773
University of North Alabama,4604,0.033,3250
Northeast Alabama Community College,1745,0,977
Oakwood University,1787,0.0811,8481
Alabama Southern Community College,1249,0,1843
Prince Institute-Southeast,94,0,7326
Reid State Technical College,641,0,1674
Bishop State Community College,4516,0,1039
Samford University,2836,0.0039,10049
Shelton State Community College,5049,0,945
Snead State Community College,1378,0,1313
University of South Alabama,9905,0.0438,2932
SOUTHERN COMMUNITY COLLEGE,88,0,2985
Spring Hill College,1183,0.0152,9355
Southeastern Bible College,228,0.0088,1707
Stillman College,1200,0.0033,159396
Talladega College,468,0,4634
H Councill Trenholm State Community College,672,0,1631
TROY STATE UNIVERSITY DOTHAN,1578,0,3832
TROY STATE UNIVERSITY-PHENIX CITY,5624,0.027,4862
TROY STATE UNIVERSITY-MONTGOMERY,2873,0,4066
Troy University,5633,0.027,4862
Tuskegee University,2391,0.0092,17076
United States Sports Academy,NULL,NULL,9466
Bevill State Community College,4097,0,1117
University of Alaska Anchorage,9341,0.0247,3060
University of Alaska Fairbanks,4842,0.0188,3276
University of Alaska Southeast,1068,0.0206,2776
Alaska Pacific University,400,0.005,11945
AVTEC-Alaska's Institute of Technology,263,0,3679
Charter College-Anchorage,386,0,5460
PRINCE WILLIAM SOUND COMMUNITY COLLEGE,120,0.0167,1229
SHELDON JACKSON COLLEGE,134,0,6973
Alaska Career College,153,0,6940
Everest College-Phoenix,535,0,11277
Collins College,1945,0,15786
Empire Beauty School-Paradise Valley,69,0,4320
Empire Beauty School-Tucson,166,0.0181,4079
Thunderbird School of Global Management,NULL,NULL,22994
American Indian College Inc,78,0.0128,5181
American Institute of Technology,321,0,12065
Carrington College-Phoenix,413,0,10898
Carrington College-Mesa,392,0,10549
Carrington College-Tucson,333,0,12079
CollegeAmerica-Flagstaff,119,0,1309
Arizona Academy of Beauty-East,74,0.0135,4123
Arizona Automotive Institute,677,0,381
Brookline College-Phoenix,563,0,2946
Arizona State University-Tempe,37336,0.0311,4639
Arizona Western College,4630,0.0022,608
University of Arizona,27764,0.0344,5393
Southwest University of Visual Arts-Tucson,287,0,3748
TONI & GUY HAIRDRESSING ACADEMY,208,0.0144,2418
