INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4744,0.0405,1618
University of Alabama at Birmingham,9714,0.0338,3738
Amridge University,294,0,6630
University of Alabama in Huntsville,4664,0.0369,3780
Alabama State University,5074,0.0032,3260
The University of Alabama,15091,0.0142,4004
Central Alabama Community College,1886,0,1252
Athens State University,2426,0,692
Auburn University at Montgomery,3358,0.0107,3663
Auburn University,19456,0.0077,5388
BESSEMER STATE TECHNICAL COLLEGE,1225,0,902
Birmingham Southern College,1316,0.0015,31818
SHELTON STATE COMMUNITY COLLEGE-C A FREDD CAMPUS,242,0,5219
Chattahoochee Valley Community College,1714,0,1058
Concordia College Alabama,968,0.0362,1369
DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE,429,0,740
South University-Montgomery,270,0,8374
Enterprise State Community College,1436,0,1630
James H Faulkner State Community College,1760,0.0023,1555
Faulkner University,584,0.0051,5164
FAULKNER UNIVERSITY-BIRMINGHAM,565,0.0053,5149
FAULKNER UNIVERSITY,565,0.0053,5149
GADSDEN BUSINESS COLLEGE,137,0,2114
Gadsden State Community College,5187,0.0455,1513
GADSDEN BUSINESS COLLEGE-ANNISTON,136,0,2099
George C Wallace State Community College-Dothan,4028,0,1559
George C Wallace State Community College-Hanceville,1078,0.0046,1050
George C Wallace State Community College-Selma,1591,0,2273
HARRY M AYERS STATE TECHNICAL COLLEGE,1110,0,916
Herzing University-Birmingham,64,0,6576
Huntingdon College,569,0.0158,6138
Heritage Christian University,114,0.114,7049
J F Drake State Community and Technical College,792,0,689
Jacksonville State University,7324,0.0071,3118
Jefferson Davis Community College,1249,0,1386
Jefferson State Community College,5431,0.0407,1896
John C Calhoun State Community College,8599,0,1358
JOHN M PATTERSON STATE TECHNICAL COLLEGE,1044,0,695
Judson College,354,0.0056,5953
Lawson State Community College-Birmingham Campus,2098,0,818
University of West Alabama,1612,0.0192,3353
Lurleen B Wallace Community College,742,0,1028
Marion Military Institute,198,0,8248
Miles College,1794,0,5068
University of Mobile,1801,0.0083,6347
University of Montevallo,2474,0.0174,3719
Northwest-Shoals Community College,4518,0.0148,1316
University of North Alabama,4826,0.0346,3089
Northeast Alabama Community College,1691,0,948
Oakwood University,1783,0.0847,7446
Alabama Southern Community College,1282,0,921
Prince Institute-Southeast,83,0,4973
Reid State Technical College,653,0,837
Bishop State Community College,4017,0,635
Samford University,2812,0.0043,9293
Shelton State Community College,4734,0,979
Snead State Community College,1674,0,1030
University of South Alabama,4758,0.0498,3041
UNIVERSITY OF SOUTH ALABAMA-BALDWIN,4751,0.0497,3041
SOUTHERN COMMUNITY COLLEGE,69,0,19983
Spring Hill College,1169,0.018,9711
Southeastern Bible College,178,0.0281,6394
Stillman College,1441,0.0021,8363
Talladega College,417,0,4414
H Councill Trenholm State Community College,694,0,1319
TROY STATE UNIVERSITY DOTHAN,1514,0,3550
TROY STATE UNIVERSITY-PHENIX CITY,4970,0.0229,4517
TROY STATE UNIVERSITY-MONTGOMERY,2559,0,3731
Troy University,4976,0.0231,4517
Tuskegee University,1075,0.0112,17353
United States Sports Academy,NULL,NULL,13518
Bevill State Community College,3596,0,1265
University of Alaska Anchorage,8583,0.026,3219
University of Alaska Fairbanks,4428,0.0174,3539
University of Alaska Southeast,1054,0.0161,3185
Alaska Pacific University,409,0.0122,9275
AVTEC-Alaska's Institute of Technology,284,0,2992
Charter College-Anchorage,383,0,7403
PRINCE WILLIAM SOUND COMMUNITY COLLEGE,121,0.0331,1305
SHELDON JACKSON COLLEGE,130,0,6629
Alaska Career College,227,0,8368
Everest College-Phoenix,410,0,27703
Collins College,1646,0,10601
Empire Beauty School-Paradise Valley,48,0,2637
Empire Beauty School-Tucson,206,0,2966
Thunderbird School of Global Management,NULL,NULL,24760
American Indian College Inc,73,0,3531
American Institute of Technology,342,0,10394
Carrington College-Phoenix,262,0,14061
Carrington College-Mesa,285,0,11881
Carrington College-Tucson,251,0,13105
CollegeAmerica-Flagstaff,30,0,14653
Arizona Academy of Beauty-East,34,0,4154
Arizona Automotive Institute,642,0,768223
Brookline College-Phoenix,249,0,4408
Arizona State University-Tempe,35573,0.0338,4452
Arizona Western College,3862,0,770
University of Arizona,27539,0.0388,4750
Southwest University of Visual Arts-Tucson,323,0.0341,9731
TONI & GUY HAIRDRESSING ACADEMY,52,0,4424
Central Arizona College,3057,0.0114,976
Brown Mackie College-Tucson,364,0.0165,4910
Charles of Italy Beauty College,72,0,1143
Cochise County Community College District,3923,0.0041,703
Empire Beauty School-Flagstaff,62,0,2889
Empire Beauty School-Chandler,116,0,3147
Cortiva Institute-Tucson,70,0,7873
DEVOE COLLEGE OF BEAUTY,38,0,2347
DEVRY UNIVERSITY-ARIZONA,2479,0.0061,7610
Avalon School of Cosmetology-Mesa,103,0.0194,4392
Eastern Arizona College,2131,0.0023,552
Embry-Riddle Aeronautical University-Prescott,1651,0.0279,14089
Glendale Community College,4050,0.0079,1485
Grand Canyon University,1501,0.02,8100
HIGH-TECH INSTITUTE,905,0,19884
International Academy of Hair Design,160,0,6878
LAMSON COLLEGE,156,0,8594
LONG TECHNICAL COLLEGE,394,0,1450
