INSTNM,UGDS,UGDS_NRA,TUITFTE
COMMUNITY COLLEGE OF THE AIR FORCE,44141,0,NULL
Alabama A & M University,3852,0.0423,NULL
University of Alabama at Birmingham,9889,0.023,NULL
ALABAMA AVIATION AND TECHNICAL COLLEGE,295,0.0407,NULL
Amridge University,60,0,NULL
University of Alabama in Huntsville,3854,0.0327,NULL
Alabama State University,4679,0.0062,NULL
The University of Alabama,13948,0.0295,NULL
Central Alabama Community College,1792,0.0045,NULL
Athens State University,2698,0,NULL
Auburn University at Montgomery,4541,0.0011,NULL
Auburn University,18337,0.0045,NULL
BESSEMER STATE TECHNICAL COLLEGE,1531,0.0026,NULL
Birmingham Southern College,1409,0.0128,NULL
BEVILL STATE COMMUNITY COLLEGE-BREWER CAMPUS,1042,0,NULL
CHARLES ACADEMY OF BEAUTY CULTURE,64,0,NULL
Chattahoochee Valley Community College,1834,0,NULL
CHAUNCEY SPARKS STATE TECHNICAL COLLEGE,629,0,NULL
Concordia College Alabama,473,0.0211,NULL
DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE,665,0,NULL
South University-Montgomery,218,0,NULL
Enterprise State Community College,1670,0,NULL
James H Faulkner State Community College,2833,0.0025,NULL
Faulkner University,360,0.0111,NULL
FAULKNER UNIVERSITY-BIRMINGHAM,337,0,NULL
FAULKNER UNIVERSITY-FLORENCE,337,0,NULL
FAULKNER UNIVERSITY-HUNTSVILLE,337,0,NULL
GADSDEN BUSINESS COLLEGE,99,0,NULL
Gadsden State Community College,5125,0.0277,NULL
GADSDEN BUSINESS COLLEGE-ANNISTON,128,0,NULL
George C Wallace State Community College-Dothan,3072,0.0003,NULL
George C Wallace State Community College-Hanceville,4390,0.0052,NULL
George C Wallace State Community College-Selma,1700,0,NULL
HARRY M AYERS STATE TECHNICAL COLLEGE,600,0,NULL
Herzing University-Birmingham,308,0,NULL
Huntingdon College,631,0.0301,NULL
HUNTSVILLE HOSPITAL SCHOOL OF RADIOLOGIC TECHN,NULL,NULL,NULL
Heritage Christian University,131,0.1298,NULL
J F Drake State Community and Technical College,261,0.0153,NULL
Jacksonville State University,6373,0.0275,NULL
Jefferson Davis Community College,1271,0,NULL
Jefferson State Community College,3841,0.0091,NULL
John C Calhoun State Community College,5968,0.0027,NULL
JOHN M PATTERSON STATE TECHNICAL COLLEGE,1142,0,NULL
Judson College,258,0.031,NULL
Lawson State Community College-Birmingham Campus,1510,0.0066,NULL
University of West Alabama,1838,0.0141,NULL
Lurleen B Wallace Community College,921,0.0054,NULL
Marion Military Institute,169,0.0059,NULL
MASTERS INSTITUTE OF COSMETOLOGY,22,0,NULL
Miles College,1202,0,NULL
University of Mobile,1740,0.0368,NULL
University of Montevallo,2652,0.017,NULL
Northwest-Shoals Community College,1676,0.0084,NULL
BEVILL STATE COMMUNITY COLLEGE-HAMILTON CAMPUS,1042,0,NULL
University of North Alabama,4958,0.0006,NULL
Northeast Alabama Community College,1445,0.0007,NULL
NORTHWEST SHOALS COMMUNITY COLLEGE-PHIL CAMPBELL,1670,0.0072,NULL
Oakwood University,1666,0.1038,NULL
Alabama Southern Community College,1526,0,NULL
Prince Institute-Southeast,64,0,NULL
Reid State Technical College,727,0,NULL
Bishop State Community College,3483,0,NULL
Samford University,2879,0,NULL
Shelton State Community College,5007,0,NULL
Snead State Community College,1460,0,NULL
University of South Alabama,4777,0.063,NULL
UNIVERSITY OF SOUTH ALABAMA-BALDWIN,4774,0.0628,NULL
SOUTHERN COMMUNITY COLLEGE,105,0,NULL
Spring Hill College,1063,0.0113,NULL
Southeastern Bible College,187,0.0963,NULL
Stillman College,834,0.006,NULL
Talladega College,627,0.0016,NULL
H Councill Trenholm State Community College,589,0,NULL
TROY STATE UNIVERSITY-DOTHAN,1534,0.0007,NULL
TROY STATE UNIVERSITY IN PHENIX CITY,2486,0.0141,NULL
TROY STATE UNIVERSITY-MONTGOMERY,2549,0.0008,NULL
Troy University,2495,0.0144,NULL
Tuskegee University,2788,0.01,NULL
United States Sports Academy,NULL,NULL,NULL
UNIVERSITY OF ALABAMA AT BIRMINGHAM-WALKER COLLEGE,975,0,NULL
Bevill State Community College,1065,0,NULL
ALASKA COMPUTER INSTITUTE,70,0,NULL
University of Alaska Anchorage,8546,0.051,NULL
University of Alaska Fairbanks,4369,0.0245,NULL
University of Alaska Southeast,962,0.0312,NULL
Alaska Pacific University,244,0.0369,NULL
AVTEC-Alaska's Institute of Technology,NULL,NULL,NULL
Charter College-Anchorage,266,0,NULL
NEW CONCEPTS BEAUTY SCHOOL INC,24,0,NULL
PRINCE WILLIAM SOUND COMMUNITY COLLEGE,157,0.0191,NULL
SHELDON JACKSON COLLEGE,179,0.0168,NULL
Alaska Career College,111,0,NULL
Everest College-Phoenix,210,0.0238,NULL
Collins College,807,0,NULL
Empire Beauty School-Paradise Valley,69,0,NULL
Empire Beauty School-Tucson,117,0,NULL
