INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4290,0.0184,5447
University of Alabama at Birmingham,9989,0.0217,5229
Amridge University,356,0,10284
University of Alabama in Huntsville,5689,0.035,5494
Alabama State University,4730,0.0027,5461
The University of Alabama,22046,0.0074,8010
Central Alabama Community College,2101,0.0076,1391
Athens State University,3114,0,1932
Auburn University at Montgomery,4457,0.0202,4434
Auburn University,20032,0.0064,9554
Birmingham Southern College,1412,0.0021,12693
Chattahoochee Valley Community College,1567,0,2052
Concordia College Alabama,539,0.0408,2602
South University-Montgomery,513,0,14978
Enterprise State Community College,2011,0.001,1605
James H Faulkner State Community College,3496,0,1469
Faulkner University,2581,0.0031,8311
Gadsden State Community College,5367,0.0209,1514
George C Wallace State Community College-Dothan,3750,0.0027,1670
George C Wallace State Community College-Hanceville,5073,0.0089,1678
George C Wallace State Community College-Selma,1670,0,1398
Herzing University-Birmingham,293,0,11300
Huntingdon College,1076,0.0074,7844
Heritage Christian University,70,0.0143,8904
J F Drake State Community and Technical College,701,0,1117
Jacksonville State University,7522,0.0225,4525
Jefferson Davis Community College,1106,0.0009,820
Jefferson State Community College,6668,0.0114,2487
John C Calhoun State Community College,8963,0,2195
Judson College,315,0.0127,4332
Lawson State Community College-Birmingham Campus,3425,0.0012,1066
University of West Alabama,1867,0.0005,5074
Lurleen B Wallace Community College,1411,0.0007,1259
Marion Military Institute,398,0,5591
Miles College,1786,0,5873
University of Mobile,1425,0.0239,8168
University of Montevallo,2558,0.0199,5080
Northwest-Shoals Community College,3271,0.0003,1611
University of North Alabama,5559,0,5109
Northeast Alabama Community College,2286,0.0004,1568
Oakwood University,1788,0.0559,10417
Alabama Southern Community College,1224,0,1308
Prince Institute-Southeast,76,0,25310
Reid State Technical College,494,0,1099
Bishop State Community College,2521,0.044,1823
Samford University,2824,0.0071,14103
Selma University,2856,0.0053,9550
Shelton State Community College,5218,0.0033,2368
Snead State Community College,1895,0.0011,1413
University of South Alabama,10701,0.0479,4365
Spring Hill College,1308,0.0046,9114
Southeastern Bible College,198,0.0152,9036
Stillman College,1048,0,8985
Talladega College,601,0,3060
H Councill Trenholm State Community College,1334,0,1275
Troy University,20898,0.0189,5626
Tuskegee University,2541,0.0134,10966
United States Sports Academy,107,0,11061
Bevill State Community College,3883,0.0021,1351
University of Alaska Anchorage,10740,0.0268,4710
University of Alaska Fairbanks,4878,0.0195,5173
University of Alaska Southeast,1145,0.0096,5162
Alaska Pacific University,495,0.002,12540
AVTEC-Alaska's Institute of Technology,757,0,2629
Charter College-Anchorage,747,0,10777
Prince William Sound Community College,124,0.0323,1952
Alaska Career College,339,0,7726
Everest College-Phoenix,3350,0.0006,8925
Collins College,1456,0,12141
Empire Beauty School-Paradise Valley,61,0,7698
Empire Beauty School-Tucson,184,0,7519
Thunderbird School of Global Management,NULL,NULL,62827
American Indian College Inc,99,0.1414,6412
American Institute of Technology,483,0,9520
Carrington College-Phoenix,4533,0,8812
CollegeAmerica-Flagstaff,157,0,17363
