INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4930,0.0087,6746
University of Alabama at Birmingham,10661,0.0178,6343
Amridge University,370,0,11499
University of Alabama in Huntsville,5828,0.0278,6548
Alabama State University,4882,0.0051,6937
The University of Alabama,24376,0.0115,9700
Central Alabama Community College,2341,0.0004,1584
Athens State University,3414,0.0064,4072
Auburn University at Montgomery,4816,0.0301,5595
Auburn University,20221,0.0067,10620
Birmingham Southern College,1521,0,12352
Chattahoochee Valley Community College,1553,0.0019,1314
Concordia College Alabama,652,0.0245,5581
South University-Montgomery,672,0,13986
Enterprise State Community College,2558,0.002,1891
James H Faulkner State Community College,4445,0.0007,2072
Faulkner University,2334,0.0141,9594
Gadsden State Community College,6732,0.0159,1109
George C Wallace State Community College-Dothan,4583,0.0009,1480
George C Wallace State Community College-Hanceville,5975,0.0057,1464
George C Wallace State Community College-Selma,1861,0,986
Herzing University-Birmingham,413,0,11328
Huntingdon College,1094,0.0064,8594
Heritage Christian University,60,0,8873
J F Drake State Community and Technical College,1247,0.0096,1188
Jacksonville State University,7747,0.0234,5253
Jefferson Davis Community College,1257,0,901
Jefferson State Community College,8553,0.0092,2501
John C Calhoun State Community College,11164,0.0041,2054
Judson College,310,0.0032,4982
Lawson State Community College-Birmingham Campus,4675,0.0011,1318
University of West Alabama,1901,0.0026,5685
Lurleen B Wallace Community College,1709,0.0006,1118
Marion Military Institute,398,0,3214
Miles College,1660,0,4260
University of Mobile,1477,0.0244,9040
University of Montevallo,2493,0.0217,5318
Northwest-Shoals Community College,3971,0.0028,1347
University of North Alabama,5788,0.0439,5390
Northeast Alabama Community College,3014,0.0043,1613
Oakwood University,1841,0.0706,9750
Alabama Southern Community College,1411,0,2591
Prince Institute-Southeast,86,0,13275
Reid State Technical College,637,0,1549
Bishop State Community College,3121,0.0346,1476
Samford University,2918,0.0055,14402
Selma University,441,0,175
Shelton State Community College,5757,0,1503
Snead State Community College,2211,0,1445
University of South Alabama,11536,0.0443,5190
Spring Hill College,1377,0.0058,9381
Southeastern Bible College,190,0,9533
Stillman College,1056,0,9365
Talladega College,706,0,7467
H Councill Trenholm State Community College,1694,0,1374
Troy University,22045,0.0178,9280
Tuskegee University,2480,0.0097,9788
United States Sports Academy,125,0,12337
Bevill State Community College,4524,0.0004,1304
University of Alaska Anchorage,12737,0.0189,4974
University of Alaska Fairbanks,5710,0.021,5667
University of Alaska Southeast,1580,0.0051,5231
Alaska Pacific University,445,0.0022,12810
AVTEC-Alaska's Institute of Technology,802,0,2879
Charter College-Anchorage,1764,0.0567,10708
Prince William Sound Community College,134,0.0149,2376
Alaska Career College,403,0,7001
Everest College-Phoenix,5662,0.0004,19476
Collins College,1148,0,12718
Empire Beauty School-Paradise Valley,86,0,8740
Empire Beauty School-Tucson,149,0,9033
Thunderbird School of Global Management,2,1,49859
American Indian College Inc,92,0,8093
American Institute of Technology,409,0,7190
Carrington College-Phoenix,977,0.002,11973
Carrington College-Mesa,1099,0,11345
Carrington College-Tucson,867,0,10942
CollegeAmerica-Flagstaff,330,0,12034
Arizona Academy of Beauty-East,83,0.012,5168
Arizona Automotive Institute,1734,0.0006,6291
Brookline College-Phoenix,1636,0,4501
Arizona State University-Tempe,56232,0.0253,9248
Arizona Western College,7856,0.1012,902
University of Arizona,30343,0.0346,9170
Southwest University of Visual Arts-Tucson,261,0,11862
Brillare Hairdressing Academy,252,0.0119,6997
Central Arizona College,5854,0.0027,1061
Brown Mackie College-Tucson,800,0,8551
Charles of Italy Beauty College,85,0,5819
Cochise County Community College District,4390,0.0009,625
Empire Beauty School-Flagstaff,31,0,9029
Empire Beauty School-Chandler,138,0,8294
Cortiva Institute-Tucson,213,0,11766
DeVry University-Arizona,2006,0.002,15394
Avalon School of Cosmetology-Mesa,128,0.0078,15076
Eastern Arizona College,5120,0.0061,685
Embry-Riddle Aeronautical University-Prescott,1647,0.0443,31704
Frank Lloyd Wright School of Architecture,8,0,13567
Glendale Community College,14449,0.0083,1768
Grand Canyon University,21559,0.003,9922
Anthem College-Phoenix,1748,0.0183,6327
International Academy of Hair Design,240,0,8406
Lamson College,258,0,12173
Kaplan College-Phoenix,644,0,8444
Maricopa Beauty College LLC,137,0,3629
GateWay Community College,6986,0.0057,2226
Mesa Community College,20462,0.0127,2009
ITT Technical Institute-Tucson,521,0,16583
ITT Technical Institute-Tempe,829,0,19449
Mohave Community College,6051,0,1031
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,3371,0.0006,9905
Dine College,1978,0,274
Northern Arizona University,19980,0.0366,6124
Northland Pioneer College,1502,0,1292
Ottawa University-Phoenix,487,0,2284
Phoenix College,9325,0.0034,1744
Cortiva Institute-Scottsdale,135,0,12506
University of Phoenix-Phoenix-Hohokam Campus,4414,0.0247,8492
Pima Community College,33929,0.0139,1524
Pima Medical Institute-Tucson,1398,0,4746
Pima Medical Institute-Albuquerque,1154,0.0017,4623
Prescott College,769,0.0078,13162
Refrigeration School Inc,504,0,5074
Rio Salado College,11480,0.0012,2243
Roberto-Venn School of Luthiery,36,0,9187
Hair Academy of Safford,109,0,2434
Scottsdale Community College,7963,0.0124,2391
South Mountain Community College,3626,0.0085,1412
Arizona Christian University,429,0.0186,8288
Tucson College,577,0.0035,17090
Universal Technical Institute of Arizona Inc,3244,0.0003,7816
Western International University,2352,0.0094,14424
Empire Beauty School-NW Phoenix,204,0,8522
Yavapai College,6383,0.0009,1759
University of Arkansas at Little Rock,9136,0.0227,5790
University of Arkansas for Medical Sciences,919,0.0022,7794
ABC Beauty College Inc,66,0,1311
Arkansas Baptist College,1118,0.0107,1839
Arkansas Beauty School-Little Rock,55,0,1062
Arkansas Beauty College,99,0,3850
Lyon College,634,0.0174,8192
Arkansas College of Barbering and Hair Design,81,0,7776
Arthur's Beauty College Inc-Fort Smith,41,0,9167
University of Arkansas,16794,0.0267,5820
University of Arkansas at Pine Bluff,3265,0.0107,1566
Arkansas State University-Beebe,3726,0.0089,1720
Arkansas State University-Main Campus,9489,0.0356,3543
Arkansas Tech University,8034,0.027,2939
University of Arkansas at Monticello,3098,0.0032,1326
Arthur's Beauty College Inc-Jacksonville,72,0,15520
Baptist Health College-Little Rock,919,0,3088
Bee Jays Academy,42,0,2491
Black River Technical College,2156,0,905
University of Central Arkansas,9064,0.0414,5377
Central Baptist College,724,0.0276,6311
Cossatot Community College of the University of Arkansas,1024,0.001,1214
Crowley's Ridge College,158,0,7015
Crowley's Ridge Technical Institute,278,0,656
East Arkansas Community College,1150,0.0035,1199
Eastern College of Health Vocations-Little Rock,170,0,4173
Imagine-Paul Mitchell Partner School,256,0,5154
National Park Community College,3336,0,1201
University of Arkansas Community College-Batesville,1417,0,833
Harding University,4122,0.0623,9928
Henderson State University,3310,0.0127,2660
Hendrix College,1451,0.0393,9902
Hot Springs Beauty College,76,0,3540
Jefferson Regional Medical Center School of Nursing,56,0,148
John Brown University,1640,0.0622,9693
Lees School of Cosmetology,38,0,7797
Career Academy of Hair Design,341,0,9634
Marsha Kay Beauty College,18,0,817
