INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4958,0.0248,4600
University of Alabama at Birmingham,10884,0.0232,4918
Amridge University,366,0,9496
University of Alabama in Huntsville,5529,0.0291,4880
Alabama State University,4584,0.0022,4643
The University of Alabama,19226,0.0104,6445
Central Alabama Community College,2112,0,1318
Athens State University,2605,0,1935
Auburn University at Montgomery,4300,0.0023,4172
Auburn University,19349,0.0066,7943
Birmingham Southern College,1207,0.0025,11607
Chattahoochee Valley Community College,1572,0,1689
Concordia College Alabama,827,0.0254,1388
South University-Montgomery,445,0,14061
Enterprise State Community College,1945,0,1701
James H Faulkner State Community College,3305,0.0006,1630
Faulkner University,2124,0.0033,6728
Gadsden Business College,54,0,8167
Gadsden State Community College,4915,0.0218,1717
George C Wallace State Community College-Dothan,3316,0.0006,1610
George C Wallace State Community College-Hanceville,5194,0.0002,1592
George C Wallace State Community College-Selma,1513,0,1316
Herzing University-Birmingham,411,0,8750
Huntingdon College,856,0.0082,7199
Heritage Christian University,90,0.0778,9141
J F Drake State Community and Technical College,684,0,1297
Jacksonville State University,7200,0.0081,4224
Jefferson Davis Community College,966,0,775
Jefferson State Community College,6070,0.0166,2340
John C Calhoun State Community College,8092,0,1908
Judson College,305,0.0131,4544
Lawson State Community College-Birmingham Campus,3121,0.0003,1041
University of West Alabama,1812,0.0083,5662
Lurleen B Wallace Community College,1305,0,1140
Marion Military Institute,290,0,20926
Miles College,1714,0,4738
University of Mobile,1417,0.0289,7407
University of Montevallo,2423,0.0215,4644
Northwest-Shoals Community College,2077,0.0005,1361
University of North Alabama,5365,0.091,4849
Northeast Alabama Community College,1787,0.005,1695
Oakwood University,1736,0.072,9171
Alabama Southern Community College,1249,0,1205
Prince Institute-Southeast,62,0,8288
Reid State Technical College,458,0,969
Bishop State Community College,3464,0,1746
Samford University,2846,0.0049,12256
Shelton State Community College,4892,0,2529
Snead State Community College,2008,0,1607
University of South Alabama,9874,0.0478,4047
Spring Hill College,1210,0.0066,8657
Southeastern Bible College,203,0,8667
Stillman College,815,0.0012,96423
Talladega College,425,0,8142
H Councill Trenholm State Community College,1311,0,1311
Troy University,19734,0.0224,5164
Tuskegee University,2420,0.0116,12835
United States Sports Academy,78,0,24991
Bevill State Community College,3812,0.0031,1461
University of Alaska Anchorage,10444,0.0237,4075
University of Alaska Fairbanks,4694,0.0239,4568
University of Alaska Southeast,1170,0.0214,4362
Alaska Pacific University,478,0.0146,11424
AVTEC-Alaska's Institute of Technology,1195,0,3649
Charter College-Anchorage,403,0,1862
Prince William Sound Community College,116,0.0259,1222
Sheldon Jackson College,99,0,5000
Alaska Career College,265,0,8073
Everest College-Phoenix,1187,0.0025,9442
Collins College,1287,0,57629
Empire Beauty School-Paradise Valley,55,0,7371
Empire Beauty School-Tucson,281,0,6948
Thunderbird School of Global Management,NULL,NULL,30297
American Indian College Inc,61,0,6023
American Institute of Technology,330,0,12460
Carrington College-Phoenix,2684,0,9179
CollegeAmerica-Flagstaff,213,0,29484
Arizona Academy of Beauty-East,45,0,5228
Arizona Automotive Institute,589,0,10396
Brookline College-Phoenix,482,0,14198
Arizona State University-Tempe,38984,0.0264,6949
Arizona Western College,5548,0.1348,776
University of Arizona,28010,0.0255,6087
Southwest University of Visual Arts-Tucson,379,0,10297
Toni & Guy Hairdressing Academy,94,0,6201
Central Arizona College,4277,0.0026,975
Brown Mackie College-Tucson,356,0.0843,6898
Charles of Italy Beauty College,55,0,20304
Cochise County Community College District,2910,0.0003,621
Empire Beauty School-Flagstaff,55,0,9842
Empire Beauty School-Chandler,182,0,8825
Cortiva Institute-Tucson,135,0,27925
DeVoe College of Beauty,28,0,3237
DeVry University-Arizona,1166,0.012,12296
Avalon School of Cosmetology-Mesa,435,0.0207,3345
Eastern Arizona College,2486,0.0072,779
Embry-Riddle Aeronautical University-Prescott,1622,0.0351,27609
Glendale Community College,4446,0.0097,1506
Grand Canyon University,2665,0.015,6843
High-Tech Institute-Phoenix,5340,0,14476
International Academy of Hair Design,118,0,3114
Lamson College,422,0,5983
Long Technical College,456,0,750
Maricopa Beauty College LLC,121,0,7962
GateWay Community College,6614,0.0056,1635
Mesa Community College,7538,0.0097,1686
ITT Technical Institute-Tucson,464,0,16362
ITT Technical Institute-Tempe,716,0,13287
Mohave Community College,4626,0,1266
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2461,0.0012,8894
Dine College,1649,0,602
Northern Arizona University,14321,0.0233,4498
Northland Pioneer College,1634,0,1015
Ottawa University-Phoenix,718,0,3859
Artistic Beauty Colleges-Phoenix,186,0,6663
Phoenix College,4177,0.0057,1460
Cortiva Institute-Scottsdale,230,0,6645
University of Phoenix-Phoenix-Hohokam Campus,4878,0.0545,9098
Pima Community College,26991,0.0097,1434
Pima Medical Institute-Tucson,602,0,5468
Pima Medical Institute-Albuquerque,527,0,5343
Prescott College,752,0,8859
Refrigeration School Inc,355,0,6349
Rio Salado College,934,0.0011,1980
Roberto-Venn School of Luthiery,35,0,8966
Hair Academy of Safford,30,0.0333,3561
Scottsdale Community College,2754,0.0098,2049
South Mountain Community College,1595,0.0044,1250
Long Technical College-East Valley,55,0,848
Arizona Christian University,308,0.0097,8935
Tucson College,448,0,9635
Universal Technical Institute of Arizona Inc,2978,0.001,6116
Western International University,12111,0.002,8592
Empire Beauty School-NW Phoenix,150,0.0067,6968
Yavapai College,4552,0,1903
University of Arkansas at Little Rock,9152,0.0153,4694
University of Arkansas for Medical Sciences,833,0.0012,7031
ABC Beauty College Inc,60,0,5025
Arkansas Baptist College,403,0,7071
Arkansas Beauty School-Little Rock,42,0,258
Arkansas Beauty College,37,0,2300
Lyon College,471,0.0212,5727
Arkansas College of Barbering and Hair Design,87,0,2747
Arthur's Beauty College Inc-Fort Smith,68,0,1859
University of Arkansas,13876,0.0211,5320
University of Arkansas at Pine Bluff,2998,0.006,1884
Arkansas State University-Beebe,3048,0,1433
Arkansas State University-Main Campus,8955,0.006,2956
Arkansas Tech University,6208,0.0267,2910
University of Arkansas at Monticello,2591,0.0031,1334
Arthur's Beauty College Inc-Jacksonville,73,0,2907
Baptist Health College-Little Rock,947,0,359
Bee Jays Academy,35,0,3894
Black River Technical College,1510,0,947
University of Central Arkansas,10137,0.0239,3554
Central Baptist College,481,0.0083,4878
