INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4081,0.0049,6222
University of Alabama at Birmingham,11014,0.0157,8181
Amridge University,338,0,11980
University of Alabama in Huntsville,5703,0.0293,7998
Alabama State University,5123,0.008,7797
The University of Alabama,27364,0.0234,11610
Central Alabama Community College,1898,0.0084,1861
Athens State University,3250,0.0092,4707
Auburn University at Montgomery,4119,0.0063,6912
Auburn University,20137,0.0059,12302
Birmingham Southern College,1226,0,13301
Chattahoochee Valley Community College,1645,0,1877
Concordia College Alabama,611,0.0164,6681
South University-Montgomery,704,0.0014,15255
Enterprise State Community College,2166,0.0023,2034
James H Faulkner State Community College,4212,0.0005,2098
Faulkner University,2528,0.0202,10839
Gadsden State Community College,5600,0.0098,1358
New Beginning College of Cosmetology,108,0,1955
George C Wallace State Community College-Dothan,4227,0,1698
George C Wallace State Community College-Hanceville,4960,0.0058,2285
George C Wallace State Community College-Selma,1671,0.0012,1476
Herzing University-Birmingham,295,0,14159
Huntingdon College,1103,0.0036,9038
Heritage Christian University,62,0.0161,10832
J F Drake State Community and Technical College,959,0.0042,887
Jacksonville State University,7654,0.0236,5959
Jefferson Davis Community College,1034,0,1051
Jefferson State Community College,7862,0.0078,2561
John C Calhoun State Community College,8690,0.0033,2439
Judson College,346,0.0058,7229
Lawson State Community College-Birmingham Campus,3224,0.0016,2200
University of West Alabama,2089,0.0522,8772
Lurleen B Wallace Community College,1440,0.0007,1624
Marion Military Institute,378,0,4378
Miles College,1687,0,5162
University of Mobile,1542,0.0227,10350
University of Montevallo,2588,0.0174,6483
Northwest-Shoals Community College,3231,0.0003,1689
University of North Alabama,5723,0.0426,6051
Northeast Alabama Community College,2750,0.0004,1964
Oakwood University,1947,0.075,10039
Alabama Southern Community College,1181,0,3449
Prince Institute-Southeast,122,0,17669
Reid State Technical College,455,0,1391
Bishop State Community College,3362,0.0268,1577
Samford University,2948,0.017,17396
Selma University,465,0,2285
Shelton State Community College,4932,0.0014,2109
Snead State Community College,2208,0,1729
University of South Alabama,11054,0.0364,6497
Spring Hill College,1165,0.0103,10433
Southeastern Bible College,179,0.0056,10183
Stillman College,1019,0,10511
Talladega College,1203,0,9666
H Councill Trenholm State Community College,1398,0,1711
Troy University,17765,0.021,7510
Tuskegee University,2605,0.015,13231
United States Sports Academy,109,0,14258
Bevill State Community College,3471,0,1714
University of Alaska Anchorage,13200,0.0217,5450
Alaska Bible College,33,0,5922
University of Alaska Fairbanks,5756,0.013,6252
University of Alaska Southeast,1536,0.0078,5840
Alaska Pacific University,436,0.0023,13321
AVTEC-Alaska's Institute of Technology,1011,0,3651
Charter College-Anchorage,1259,0,11618
Prince William Sound Community College,159,0.0063,3271
Alaska Career College,228,0,11786
Everest College-Phoenix,1578,0,12479
Collins College,589,0,20461
Empire Beauty School-Paradise Valley,74,0,8091
Empire Beauty School-Tucson,164,0,7948
Thunderbird School of Global Management,3,0,50562
American Indian College Inc,73,0,9310
American Institute of Technology,474,0,5305
Carrington College-Phoenix,560,0,12986
Carrington College-Mesa,685,0,12877
Carrington College-Tucson,399,0,12814
CollegeAmerica-Flagstaff,255,0,22272
Arizona Academy of Beauty-East,54,0,8900
Arizona Automotive Institute,726,0,13032
Brookline College-Phoenix,1186,0,17762
Arizona State University-Tempe,59183,0.0377,11434
Arizona Western College,7442,0.0821,811
University of Arizona,31217,0.0487,11162
Southwest University of Visual Arts-Tucson,263,0,12360
Brillare Hairdressing Academy,166,0,11333
Central Arizona College,5833,0.0026,1102
Brown Mackie College-Tucson,784,0,9923
Charles of Italy Beauty College,78,0,6470
Cochise County Community College District,3775,0.0021,647
Empire Beauty School-Flagstaff,59,0,8295
Empire Beauty School-Chandler,123,0,8134
Cortiva Institute-Tucson,140,0,5807
DeVry University-Arizona,1418,0.0042,19472
Avalon School of Cosmetology-Mesa,312,0,6473
Eastern Arizona College,5071,0.0073,747
Embry-Riddle Aeronautical University-Prescott,1669,0.0605,34428
Frank Lloyd Wright School of Architecture,3,0.3333,25056
Glendale Community College,15667,0.0065,1437
Grand Canyon University,30890,0.0002,10523
Anthem College-Phoenix,1856,0.0005,7913
International Academy of Hair Design,228,0,7416
Kaplan College-Phoenix,392,0,7130
GateWay Community College,5996,0.004,2188
Mesa Community College,21042,0.0103,1731
ITT Technical Institute-Tucson,460,0,20123
ITT Technical Institute-Tempe,575,0,22021
Mohave Community College,4791,0,1380
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2594,0.0012,13246
Dine College,1907,0.001,186
Northern Arizona University,21627,0.0412,6515
Northland Pioneer College,1716,0.0012,1303
Ottawa University-Phoenix,399,0,6727
Phoenix College,9383,0.0027,1360
Cortiva Institute-Scottsdale,115,0,7446
University of Phoenix-Phoenix Campus,3704,0.0186,8647
Pima Community College,29300,0.0118,1402
Pima Medical Institute-Tucson,1811,0.0011,5585
Pima Medical Institute-Albuquerque,942,0,4920
Prescott College,671,0.0238,14428
Refrigeration School Inc,632,0.0032,9289
Rio Salado College,10833,0.0009,2546
Roberto-Venn School of Luthiery,30,0.0333,10092
Hair Academy of Safford,85,0,1964
