INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4483,0.0091,5509
University of Alabama at Birmingham,10265,0.0212,5985
Amridge University,389,0,10873
University of Alabama in Huntsville,5956,0.0309,6155
Alabama State University,4638,0.0045,5991
The University of Alabama,23296,0.0088,8900
Central Alabama Community College,2288,0,1406
Athens State University,3279,0.0021,3836
Auburn University at Montgomery,4678,0.0291,4985
Auburn University,19918,0.0063,10258
Birmingham Southern College,1508,0.0007,12280
Chattahoochee Valley Community College,1641,0,1615
Concordia College Alabama,568,0.0211,4220
South University-Montgomery,599,0,15778
Enterprise State Community College,2486,0,1595
James H Faulkner State Community College,4158,0.0012,2472
Faulkner University,2676,0.0086,8243
Gadsden State Community College,6494,0.0177,1333
George C Wallace State Community College-Dothan,4418,0.0011,1596
George C Wallace State Community College-Hanceville,5766,0.0082,1888
George C Wallace State Community College-Selma,1746,0,1182
Herzing University-Birmingham,425,0,9300
Huntingdon College,1067,0.0075,8250
Heritage Christian University,72,0,9274
J F Drake State Community and Technical College,1162,0.0043,891
Jacksonville State University,7553,0.0263,5029
Jefferson Davis Community College,1300,0,1024
Jefferson State Community College,7131,0.0114,2410
John C Calhoun State Community College,10364,0,2192
Judson College,313,0.0032,4478
Lawson State Community College-Birmingham Campus,4200,0.001,1507
University of West Alabama,1945,0.0046,5042
Lurleen B Wallace Community College,1608,0.0012,1268
Marion Military Institute,467,0,2616
Miles College,1791,0,3546
University of Mobile,1413,0.0283,8304
University of Montevallo,2546,0.0244,5295
Northwest-Shoals Community College,3893,0.0008,1376
University of North Alabama,6008,0.0471,5123
Northeast Alabama Community College,2960,0,1487
Oakwood University,1859,0.0689,10249
Alabama Southern Community College,1325,0,1561
Prince Institute-Southeast,63,0,16507
Reid State Technical College,664,0,1428
Bishop State Community College,2958,0,1712
Samford University,2879,0.0049,14368
Selma University,19,0,551
Shelton State Community College,5475,0.0071,1807
Snead State Community College,2128,0.0005,1411
University of South Alabama,11250,0.0429,4855
Spring Hill College,1304,0.0077,9352
Southeastern Bible College,203,0.0099,8891
Stillman College,1041,0,9294
Talladega College,700,0,6934
H Councill Trenholm State Community College,1670,0,1319
Troy University,22030,0.0192,6423
Tuskegee University,2475,0.0137,8629
United States Sports Academy,146,0,10679
Bevill State Community College,4356,0,1280
University of Alaska Anchorage,11768,0.0229,4910
University of Alaska Fairbanks,5314,0.0207,5489
University of Alaska Southeast,1415,0.0071,5207
Alaska Pacific University,427,0.0023,12731
AVTEC-Alaska's Institute of Technology,820,0,2572
Charter College-Anchorage,1132,0,9585
Prince William Sound Community College,136,0.0441,2029
Alaska Career College,410,0,8320
Everest College-Phoenix,4688,0,11960
Collins College,1171,0,14177
Empire Beauty School-Paradise Valley,55,0,7098
Empire Beauty School-Tucson,186,0,7311
Thunderbird School of Global Management,4,1,29636
American Indian College Inc,84,0,8290
American Institute of Technology,371,0,7420
Carrington College-Phoenix,5844,0.0002,11849
CollegeAmerica-Flagstaff,279,0,16440
Arizona Academy of Beauty-East,82,0.0244,5417
Arizona Automotive Institute,805,0,13789
Brookline College-Phoenix,1313,0,6997
Arizona State University-Tempe,53902,0.0226,8492
Arizona Western College,7269,0.1066,924
University of Arizona,30036,0.0304,7790
Southwest University of Visual Arts-Tucson,279,0,11387
Toni & Guy Hairdressing Academy,261,0,8086
Central Arizona College,5281,0.003,1344
Brown Mackie College-Tucson,557,0,9431
Charles of Italy Beauty College,83,0,5827
Cochise County Community College District,3504,0.0023,611
Empire Beauty School-Flagstaff,59,0,6337
Empire Beauty School-Chandler,141,0,6267
Cortiva Institute-Tucson,221,0,6196
DeVry University-Arizona,1601,0.0044,14975
Avalon School of Cosmetology-Mesa,100,0,7551
Eastern Arizona College,4472,0.0076,871
Embry-Riddle Aeronautical University-Prescott,1613,0.0409,30214
Frank Lloyd Wright School of Architecture,9,0.1111,22528
Glendale Community College,11572,0.0092,1804
Grand Canyon University,18919,0.0024,7124
Anthem College-Phoenix,816,0,13383
International Academy of Hair Design,169,0,11521
Lamson College,442,0,6696
Kaplan College,690,0.0101,1084
Maricopa Beauty College LLC,130,0,3496
GateWay Community College,7335,0.0046,2043
Mesa Community College,17822,0.0147,2023
ITT Technical Institute-Tucson,494,0,19661
ITT Technical Institute-Tempe,840,0,19183
Mohave Community College,5787,0,1222
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,3197,0,7832
Dine College,1689,0,518
Northern Arizona University,18034,0.0259,5830
Northland Pioneer College,1684,0,964
Ottawa University-Phoenix,506,0,3706
Phoenix College,7670,0.0056,1823
Cortiva Institute-Scottsdale,172,0,7569
University of Phoenix-Phoenix-Hohokam Campus,3901,0.0264,8414
Pima Community College,33232,0.0122,1597
Pima Medical Institute-Tucson,1198,0,8774
Pima Medical Institute-Albuquerque,1003,0.001,8626
Prescott College,761,0.0105,10346
Refrigeration School Inc,492,0.002,5010
Rio Salado College,8632,0.0019,2168
Roberto-Venn School of Luthiery,35,0.0286,9967
Hair Academy of Safford,102,0.0098,2345
Scottsdale Community College,7026,0.0134,2395
South Mountain Community College,3293,0.0076,1514
Arizona Christian University,401,0.0075,8120
Tucson College,473,0,15615
Universal Technical Institute of Arizona Inc,3088,0.0003,8189
Western International University,2205,0.0109,13851
Empire Beauty School-NW Phoenix,201,0,6271
Yavapai College,5085,0.0018,1376
University of Arkansas at Little Rock,9189,0.0168,6041
University of Arkansas for Medical Sciences,916,0.0011,8725
ABC Beauty College Inc,55,0,436
Arkansas Baptist College,734,0.0109,2606
Arkansas Beauty School-Little Rock,49,0,123
Arkansas Beauty College,59,0,2415
Lyon College,590,0.022,7584
Arkansas College of Barbering and Hair Design,126,0,3906
Arthur's Beauty College Inc-Fort Smith,40,0,7751
University of Arkansas,15347,0.0295,5966
University of Arkansas at Pine Bluff,3624,0.0119,1916
Arkansas State University-Beebe,3663,0.0049,1825
Arkansas State University-Main Campus,9441,0.0228,3579
Arkansas Tech University,7331,0.028,3258
University of Arkansas at Monticello,2971,0.0017,1819
Arthur's Beauty College Inc-Jacksonville,74,0,11744
Baptist Health College-Little Rock,1022,0,3857
Bee Jays Academy,37,0,1668
Black River Technical College,1904,0,1198
University of Central Arkansas,9224,0.0389,5061
Central Baptist College,621,0.0258,6171
Cossatot Community College of the University of Arkansas,1027,0,1278
Crowley's Ridge College,142,0,6950
Crowley's Ridge Technical Institute,228,0,677
East Arkansas Community College,1243,0,1174
Eastern College of Health Vocations-Little Rock,165,0,4524
Imagine-Paul Mitchell Partner School,188,0,3868
National Park Community College,3143,0,1199
University of Arkansas Community College-Batesville,1530,0,1047
Harding University,4052,0.057,8563
Henderson State University,3070,0.0192,2992
Hendrix College,1454,0.0309,9636
Hot Springs Beauty College,69,0,3772
Jefferson Regional Medical Center School of Nursing,70,0,245
John Brown University,1691,0.068,9778
Lees School of Cosmetology,37,0,4613
Career Academy of Hair Design,161,0,21820
Marsha Kay Beauty College,30,0,813
Academy of Salon and Spa,81,0,6356
Arkansas State University Mid-South,1553,0.0032,1111
Arkansas Northeastern College,1672,0,1320
Margaret's Hair Academy Inc,85,0,3806
New Tyler Barber College Inc,69,0,5013
North Arkansas College,2107,0.0005,843
Northwest Technical Institute,310,0,2021
Ouachita Baptist University,1421,0.0296,7288
College of the Ouachitas,837,0.0119,1692
Ozarka College,1272,0,920
University of the Ozarks,596,0.1829,9987
University of Arkansas Community College-Morrilton,2337,0.0004,1470
Philander Smith College,665,0.0316,6690
Phillips Community College of the University of Arkansas,1287,0,698
Southeast Arkansas College,1994,0,1261
Professional Cosmetology Education Center,43,0,3297
Pulaski Technical College,9149,0.0014,1427
University of Arkansas Community College-Hope,1307,0,1375
Rich Mountain Community College,638,0,900
Paul Mitchell the School-Arkansas,68,0,1731
Searcy Beauty College,55,0,1416
Williams Baptist College,509,0.0059,4263
South Arkansas Community College,1517,0,1451
Southern Arkansas University Main Campus,2516,0.0382,3220
Southern Arkansas University Tech,981,0.0051,1981
Velvatex College of Beauty Culture,25,0,184
University of Arkansas-Fort Smith,6582,0.0047,2711
Abram Friedman Occupational Center,10777,0,26
Academy of Art University,10400,0.1432,17114
ITT Technical Institute-Rancho Cordova,731,0,17963
Academy of Chinese Culture and Health Sciences,NULL,NULL,4523
The Academy of Radio and TV Broadcasting,76,0,9828
Avalon School of Cosmetology-Alameda,150,0,342
College of Alameda,6011,0.0434,540
Allan Hancock College,9910,0.0014,529
American Baptist Seminary of the West,NULL,NULL,11791
American Film Institute Conservatory,NULL,NULL,23619
American Beauty College,49,0,177
American InterContinental University,75,0,25706
American Career College-Los Angeles,1764,0,15979
American Conservatory Theater,0,0,18101
American River College,32626,0.0076,476
Everest College-Hayward,606,0,12865
Antelope Valley College,13331,0.0017,319
Art Center College of Design,1756,0.1908,34803
Associated Technical College-Los Angeles,380,0,3148
Associated Technical College-San Diego,123,0,9454
Azusa Pacific University,4874,0.0193,15931
Bakersfield College,16792,0.0027,461
Bridges Academy of Beauty,17,0,818
Barstow Community College,3865,0.0003,328
Bellus Academy-National City,235,0,6422
Bethany University,416,0.012,13289
Bethesda University,183,0.9945,5292
Biola University,3872,0.0235,15006
Brooks Institute,899,0,15362
Brownson Technical School,79,0,5564
Bryan University,1325,0,9103
Butte College,11726,0.009,616
Phillips Graduate Institute,NULL,NULL,21061
California Institute of Integral Studies,70,0.0429,15544
Cabrillo College,13711,0.0038,773
California Baptist University,3212,0.038,14978
California College of the Arts,1362,0.0947,22145
University of California-Hastings College of Law,NULL,NULL,17595
California Institute of Technology,951,0.1167,13280
California Lutheran University,2344,0.0384,15409
California Polytechnic State University-San Luis Obispo,18239,0.0079,4749
Alliant International University-San Diego,151,0.0861,16222
California State University-Bakersfield,6510,0.0151,2874
California State University-Stanislaus,7067,0.0151,3012
California State University-San Bernardino,14373,0.0289,3819
California State Polytechnic University-Pomona,20039,0.0477,3484
California State University-Chico,15474,0.0239,3181
California State University-Dominguez Hills,10498,0.0205,3859
California State University-Fresno,18036,0.0264,3088
California State University-Fullerton,30670,0.0347,3727
California State University-East Bay,11625,0.0686,4490
California State University-Long Beach,29139,0.0404,3581
California State University-Los Angeles,15587,0.0568,3559
California State University-Northridge,29317,0.0584,3501
California State University-Sacramento,24745,0.0106,4144
University of California-Berkeley,25529,0.0548,9713
University of California-Davis,24496,0.0227,8807
University of California-Irvine,22211,0.0252,7788
University of California-Los Angeles,26687,0.048,10105
University of California-Riverside,16988,0.0152,7440
University of California-San Diego,23121,0.0372,8861
University of California-San Francisco,NULL,NULL,15063
University of California-Santa Barbara,19793,0.0136,8318
University of California-Santa Cruz,15259,0.0041,7746
Sofia University,NULL,NULL,21112
California Beauty School,65,0,3218
California Christian College,29,0.0345,7518
California College-San Diego,1299,0.0008,8059
Le Cordon Bleu College of Culinary Arts-San Francisco,869,0.0426,19315
California Hair Design Academy,220,0,5
California Institute of the Arts,888,0.0788,22289
The California Maritime Academy,821,0.0085,5326
California Western School of Law,NULL,NULL,33714
Canada College,5500,0.0056,550
College of the Canyons,19152,0.0058,681
Career Academy of Beauty,273,0,4605
Casa Loma College-Van Nuys,604,0.0017,4333
CET-San Diego,292,0,2638
CET-Sobrato,649,0,3312
CET-El Centro,360,0,5679
