INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4051,0.0002,9063
University of Alabama at Birmingham,11200,0.014,9033
Amridge University,322,0,12057
University of Alabama in Huntsville,5525,0.0329,8322
Alabama State University,5354,0.0207,7813
The University of Alabama,28692,0.0278,12198
Central Alabama Community College,1779,0.0011,2371
Athens State University,2999,0.007,5094
Auburn University at Montgomery,4322,0.0435,7625
Auburn University,19761,0.0074,13186
Birmingham Southern College,1181,0,11928
Chattahoochee Valley Community College,1769,0,2056
Concordia College Alabama,523,0.0325,6023
South University-Montgomery,599,0,14726
Enterprise State Community College,1984,0.0015,2129
James H Faulkner State Community College,4182,0.0007,2187
Faulkner University,2358,0.0191,10997
Gadsden State Community College,5480,0.0135,1643
New Beginning College of Cosmetology,89,0,6236
George C Wallace State Community College-Dothan,4293,0,1927
George C Wallace State Community College-Hanceville,4904,0.0069,2707
George C Wallace State Community College-Selma,1604,0.0006,1312
Herzing University-Birmingham,318,0,8048
Huntingdon College,1100,0.0027,9074
Heritage Christian University,67,0.0299,10138
J F Drake State Community and Technical College,1040,0.0019,1348
Jacksonville State University,7195,0.0221,6192
Jefferson Davis Community College,1037,0,1084
Jefferson State Community College,7494,0.0079,2670
John C Calhoun State Community College,9970,0.004,2985
Judson College,331,0.0091,7626
Lawson State Community College-Birmingham Campus,2894,0.001,1576
University of West Alabama,1988,0.0473,9161
Lurleen B Wallace Community College,1372,0.0007,1757
Marion Military Institute,411,0,2443
Miles College,1663,0,5101
University of Mobile,1472,0.0306,10339
University of Montevallo,2610,0.0134,7161
Northwest-Shoals Community College,3235,0,1338
University of North Alabama,5536,0.0495,6530
Northeast Alabama Community College,2376,0.0021,1904
Oakwood University,1854,0.082,11909
Alabama Southern Community College,1218,0.0008,3125
Prince Institute-Southeast,102,0,10722
Reid State Technical College,414,0,1331
Bishop State Community College,3363,0.0214,1692
Samford University,2995,0.0304,17548
Selma University,447,0,4873
Shelton State Community College,4859,0.0012,2285
Snead State Community College,2161,0.0014,2092
University of South Alabama,11048,0.0284,6914
Spring Hill College,1269,0.0134,10653
Southeastern Bible College,160,0.0063,10496
Stillman College,863,0,10367
Talladega College,894,0,13302
H Councill Trenholm State Community College,1262,0,2371
Troy University,16208,0.0239,8133
Tuskegee University,2584,0.0031,14071
United States Sports Academy,80,0,13741
Bevill State Community College,3212,0,1857
University of Alaska Anchorage,13116,0.0184,5732
Alaska Bible College,26,0,5777
University of Alaska Fairbanks,5729,0.0119,6510
University of Alaska Southeast,1488,0.0067,6158
Alaska Pacific University,340,0,13615
AVTEC-Alaska's Institute of Technology,1347,0,5501
Charter College-Anchorage,2191,0,20340
Prince William Sound Community College,134,0.0149,3126
Alaska Career College,335,0,6193
Everest College-Phoenix,2761,0.0004,13190
Collins College,254,0,19717
Empire Beauty School-Paradise Valley,43,0,8231
Empire Beauty School-Tucson,175,0,7447
Thunderbird School of Global Management,2,0,62758
American Indian College Inc,77,0,5550
American Institute of Technology,278,0,6018
Carrington College-Phoenix,676,0,11721
Carrington College-Mesa,691,0,13311
Carrington College-Tucson,440,0,11942
CollegeAmerica-Flagstaff,94,0,14468
Arizona Academy of Beauty-East,47,0,7119
Arizona Automotive Institute,505,0,11919
Brookline College-Phoenix,828,0.0229,25798
Arizona State University-Tempe,38480,0.0715,11705
Arizona Western College,7442,0.072,746
University of Arizona,31399,0.055,12051
Southwest University of Visual Arts-Tucson,216,0,15423
Brillare Hairdressing Academy,226,0,9287
Central Arizona College,5462,0.0029,1226
Brown Mackie College-Tucson,684,0,10282
Charles of Italy Beauty College,83,0,8134
Cochise County Community College District,3787,0.004,524
Empire Beauty School-Flagstaff,53,0,8704
Empire Beauty School-Chandler,113,0,8290
Cortiva Institute-Tucson,143,0,5761
Avalon School of Cosmetology-Mesa,273,0,5660
Eastern Arizona College,4812,0.0064,906
Embry-Riddle Aeronautical University-Prescott,1802,0.0855,35302
Frank Lloyd Wright School of Architecture,2,0.5,19359
Glendale Community College,16623,0.0158,1473
Grand Canyon University,34643,0.0001,10748
Anthem College-Phoenix,2238,0,8537
International Academy of Hair Design,210,0,10192
Kaplan College-Phoenix,93,0,10755
GateWay Community College,5653,0.0193,2122
Mesa Community College,20120,0.0176,1815
ITT Technical Institute-Tucson,409,0,21110
ITT Technical Institute-Tempe,498,0,21842
Mohave Community College,4759,0,1477
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2049,0.0005,11054
Dine College,1425,0,343
Northern Arizona University,22011,0.0424,6697
Northland Pioneer College,1641,0,1256
Ottawa University-Phoenix,335,0,7555
Phoenix College,10234,0.0044,1376
Cortiva Institute-Scottsdale,87,0,8057
University of Phoenix-Phoenix Campus,3044,0.0181,9946
Pima Community College,26600,0.0087,1598
Pima Medical Institute-Tucson,1726,0.0023,6092
Pima Medical Institute-Albuquerque,930,0,5951
Prescott College,540,0.0111,14975
Refrigeration School Inc,621,0.0016,10161
Rio Salado College,10217,0.0013,2403
Roberto-Venn School of Luthiery,39,0,10356
Hair Academy of Safford,64,0,3546
Scottsdale Community College,7687,0.0125,2174
South Mountain Community College,3980,0.0035,942
Arizona Christian University,491,0.0244,10013
Tucson College,284,0,12415
Universal Technical Institute of Arizona Inc,2337,0.0004,10675
Western International University,1369,0.0131,13780
Empire Beauty School-NW Phoenix,172,0.0058,7957
Yavapai College,6072,0.0018,2022
University of Arkansas at Little Rock,8504,0.0293,6265
University of Arkansas for Medical Sciences,755,0.004,11986
ABC Beauty College Inc,32,0,5278
Arkansas Baptist College,1022,0.0029,9112
Arkansas Beauty School-Little Rock,37,0,1665
Arkansas Beauty College,46,0,9392
Lyon College,570,0.0298,9863
Arkansas College of Barbering and Hair Design,134,0,8447
Arthur's Beauty College Inc-Fort Smith,50,0,8501
University of Arkansas,20776,0.0276,6624
University of Arkansas at Pine Bluff,2503,0.0072,2277
Arkansas State University-Beebe,3217,0.0143,1727
Arkansas State University-Main Campus,9325,0.0604,3527
Arkansas Tech University,8734,0.0332,3247
University of Arkansas at Monticello,3024,0.004,2757
Arthur's Beauty College Inc-Jacksonville,64,0,8658
Baptist Health College-Little Rock,918,0,4199
Black River Technical College,1894,0,1275
University of Central Arkansas,9261,0.0331,4425
Central Baptist College,769,0.0273,8457
Cossatot Community College of the University of Arkansas,1129,0,947
Crowley's Ridge College,153,0,8396
Crowley's Ridge Technical Institute,286,0,448
East Arkansas Community College,922,0,1456
Eastern College of Health Vocations-Little Rock,302,0,5255
Imagine-Paul Mitchell Partner School,482,0,10300
National Park Community College,2445,0,1641
University of Arkansas Community College-Batesville,1090,0,1044
Harding University,4428,0.0657,11636
