INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,NULL,NULL,3486
University of Alabama at Birmingham,NULL,NULL,6348
Amridge University,NULL,NULL,5397
University of Alabama in Huntsville,NULL,NULL,4200
Alabama State University,NULL,NULL,68868
The University of Alabama,NULL,NULL,4540
Central Alabama Community College,NULL,NULL,1664
Athens State University,NULL,NULL,2539
Auburn University at Montgomery,NULL,NULL,2155
Auburn University,NULL,NULL,3813
BESSEMER STATE TECHNICAL COLLEGE,NULL,NULL,1518
Birmingham Southern College,NULL,NULL,NULL
SHELTON STATE COMMUNITY COLLEGE-C A FREDD CAMPUS,NULL,NULL,581
Chattahoochee Valley Community College,NULL,NULL,1676
Concordia College Alabama,NULL,NULL,3060
DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE,NULL,NULL,1459
South University-Montgomery,NULL,NULL,26364
Enterprise State Community College,NULL,NULL,1944
James H Faulkner State Community College,NULL,NULL,1947
Faulkner University,NULL,NULL,3958
FAULKNER UNIVERSITY-BIRMINGHAM,NULL,NULL,3948
FAULKNER UNIVERSITY,NULL,NULL,3948
GADSDEN BUSINESS COLLEGE,NULL,NULL,NULL
Gadsden State Community College,NULL,NULL,1685
GADSDEN BUSINESS COLLEGE-ANNISTON,NULL,NULL,NULL
George C Wallace State Community College-Dothan,NULL,NULL,1759
George C Wallace State Community College-Hanceville,NULL,NULL,1297
George C Wallace State Community College-Selma,NULL,NULL,1630
HARRY M AYERS STATE TECHNICAL COLLEGE,NULL,NULL,1715
Herzing University-Birmingham,NULL,NULL,6445
Huntingdon College,NULL,NULL,4761
Heritage Christian University,NULL,NULL,5631
J F Drake State Community and Technical College,NULL,NULL,1850
Jacksonville State University,NULL,NULL,2896
Jefferson Davis Community College,NULL,NULL,2314
Jefferson State Community College,NULL,NULL,1806
John C Calhoun State Community College,NULL,NULL,1739
JOHN M PATTERSON STATE TECHNICAL COLLEGE,NULL,NULL,1598
Judson College,NULL,NULL,5266
Lawson State Community College-Birmingham Campus,NULL,NULL,1835
University of West Alabama,NULL,NULL,2744
Lurleen B Wallace Community College,NULL,NULL,1778
Marion Military Institute,NULL,NULL,38490
Miles College,NULL,NULL,NULL
University of Mobile,NULL,NULL,6729
University of Montevallo,NULL,NULL,3452
Northwest-Shoals Community College,NULL,NULL,1747
University of North Alabama,NULL,NULL,2945
Northeast Alabama Community College,NULL,NULL,1418
Oakwood University,NULL,NULL,7060
Alabama Southern Community College,NULL,NULL,1695
Prince Institute-Southeast,NULL,NULL,4800
Reid State Technical College,NULL,NULL,1645
Bishop State Community College,NULL,NULL,1941
Samford University,NULL,NULL,8534
Shelton State Community College,NULL,NULL,1807
Snead State Community College,NULL,NULL,1464
University of South Alabama,NULL,NULL,2166
UNIVERSITY OF SOUTH ALABAMA-BALDWIN,NULL,NULL,NULL
SOUTHERN COMMUNITY COLLEGE,NULL,NULL,NULL
Spring Hill College,NULL,NULL,8023
Southeastern Bible College,NULL,NULL,777870
Stillman College,NULL,NULL,10786
Talladega College,NULL,NULL,3313
H Councill Trenholm State Community College,NULL,NULL,1385
TROY STATE UNIVERSITY DOTHAN,NULL,NULL,2965
TROY STATE UNIVERSITY-PHENIX CITY,NULL,NULL,4053
TROY STATE UNIVERSITY-MONTGOMERY,NULL,NULL,1819
Troy University,NULL,NULL,4054
Tuskegee University,NULL,NULL,1005
United States Sports Academy,NULL,NULL,8195
Bevill State Community College,NULL,NULL,1642
University of Alaska Anchorage,NULL,NULL,2970
University of Alaska Fairbanks,NULL,NULL,3431
University of Alaska Southeast,NULL,NULL,2924
Alaska Pacific University,NULL,NULL,7918
AVTEC-Alaska's Institute of Technology,NULL,NULL,2917
Charter College-Anchorage,NULL,NULL,4274
NEW CONCEPTS BEAUTY SCHOOL INC,NULL,NULL,NULL
PRINCE WILLIAM SOUND COMMUNITY COLLEGE,NULL,NULL,4925
SHELDON JACKSON COLLEGE,NULL,NULL,6705
Alaska Career College,NULL,NULL,3662
Everest College-Phoenix,NULL,NULL,36
Collins College,NULL,NULL,2006
Empire Beauty School-Paradise Valley,NULL,NULL,6876
Empire Beauty School-Tucson,NULL,NULL,2228
Thunderbird School of Global Management,NULL,NULL,22042
American Indian College Inc,NULL,NULL,4274
American Institute of Technology,NULL,NULL,15594
Carrington College-Phoenix,NULL,NULL,10035
Carrington College-Mesa,NULL,NULL,7453
Carrington College-Tucson,NULL,NULL,6766
CollegeAmerica-Flagstaff,NULL,NULL,24173
Arizona Academy of Beauty-East,NULL,NULL,0
Arizona Automotive Institute,NULL,NULL,6523168
Brookline College-Phoenix,NULL,NULL,5829
Arizona State University-Tempe,NULL,NULL,4997
Arizona Western College,NULL,NULL,1507
University of Arizona,NULL,NULL,5724
Southwest University of Visual Arts-Tucson,NULL,NULL,NULL
SCOTT COLE ACADEMY,NULL,NULL,2567
Central Arizona College,NULL,NULL,1596
Brown Mackie College-Tucson,NULL,NULL,6271
Charles of Italy Beauty College,NULL,NULL,NULL
Cochise County Community College District,NULL,NULL,1623
Empire Beauty School-Flagstaff,NULL,NULL,1449
Empire Beauty School-Chandler,NULL,NULL,2326
Cortiva Institute-Tucson,NULL,NULL,7366
DEVOE COLLEGE OF BEAUTY,NULL,NULL,996
DEVRY INSTITUTE OF TECHNOLOGY,NULL,NULL,5737
Avalon School of Cosmetology-Mesa,NULL,NULL,2406
Eastern Arizona College,NULL,NULL,982
Glendale Community College,NULL,NULL,1362
Grand Canyon University,NULL,NULL,6478
HIGH-TECH INSTITUTE,NULL,NULL,551971
International Academy of Hair Design,NULL,NULL,2931
LAMSON COLLEGE,NULL,NULL,3581
LONG TECHNICAL COLLEGE,NULL,NULL,118486
MARICOPA BEAUTY COLLEGE,NULL,NULL,107340
GateWay Community College,NULL,NULL,1937
Mesa Community College,NULL,NULL,1538
ITT Technical Institute-Tucson,NULL,NULL,10902
ITT Technical Institute-Tempe,NULL,NULL,9753
Mohave Community College,NULL,NULL,892
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,NULL,NULL,1782
MUNDUS INSTITUTE,NULL,NULL,5278
Dine College,NULL,NULL,799
Northern Arizona University,NULL,NULL,3857
Northland Pioneer College,NULL,NULL,989
Ottawa University-Phoenix,NULL,NULL,4995
PHOENIX ACADEMY OF BEAUTY,NULL,NULL,2241
Phoenix College,NULL,NULL,1447
Cortiva Institute-Scottsdale,NULL,NULL,NULL
UNIVERSITY OF PHOENIX-PHOENIX CAMPUS,NULL,NULL,7339
Pima Community College,NULL,NULL,1291
Pima Medical Institute-Tucson,NULL,NULL,3634
Pima Medical Institute-Albuquerque,NULL,NULL,3574
Prescott College,NULL,NULL,6093
Refrigeration School Inc,NULL,NULL,7420
Rio Salado College,NULL,NULL,1409
Roberto-Venn School of Luthiery,NULL,NULL,419670
Hair Academy of Safford,NULL,NULL,NULL
Scottsdale Community College,NULL,NULL,1737
South Mountain Community College,NULL,NULL,1693
ARIZONA PARALEGAL TRAINING PROGRAM,NULL,NULL,386194
Arizona Christian University,NULL,NULL,5804
Tucson College,NULL,NULL,41
Universal Technical Institute of Arizona Inc,NULL,NULL,818
METROPOLITAN COLLEGE OF COURT REPORTING,NULL,NULL,3853
Western International University,NULL,NULL,228
Empire Beauty School-NW Phoenix,NULL,NULL,2294
Yavapai College,NULL,NULL,2339
University of Arkansas at Little Rock,NULL,NULL,3365
University of Arkansas for Medical Sciences,NULL,NULL,2576
ABC Beauty College Inc,NULL,NULL,5086
Arkansas Baptist College,NULL,NULL,3064
Arkansas Beauty School-Little Rock,NULL,NULL,1448
Lyon College,NULL,NULL,3708
Arkansas College of Barbering and Hair Design,NULL,NULL,80440
Arthur's Beauty College Inc-Fort Smith,NULL,NULL,NULL
University of Arkansas,NULL,NULL,4270
University of Arkansas at Pine Bluff,NULL,NULL,2529
Arkansas State University-Beebe,NULL,NULL,1656
Arkansas State University-Main Campus,NULL,NULL,3113
Arkansas Tech University,NULL,NULL,2429
ARKANSAS VALLEY TECHNICAL INSTITUTE,NULL,NULL,660
University of Arkansas at Monticello,NULL,NULL,2522
Arthur's Beauty College Inc-Jacksonville,NULL,NULL,NULL
Baptist Health College-Little Rock,NULL,NULL,NULL
BEE JAYS ACADEMY,NULL,NULL,2259
Black River Technical College,NULL,NULL,3601
University of Central Arkansas,NULL,NULL,2991
Central Baptist College,NULL,NULL,5665
BLYTHEVILLE ACADEMY OF COSMETOLOGY,NULL,NULL,221
Cossatot Community College of the University of Arkansas,NULL,NULL,1706
COTTON BOLL TECHNICAL INSTITUTE,NULL,NULL,375
Crowley's Ridge College,NULL,NULL,4313
Crowley's Ridge Technical Institute,NULL,NULL,399
DE LUXE BEAUTY SCHOOL,NULL,NULL,NULL
DELTA TECHNICAL INSTITUTE,NULL,NULL,774
East Arkansas Community College,NULL,NULL,17433
Eastern College of Health Vocations-Little Rock,NULL,NULL,1295960
Imagine-Paul Mitchell Partner School,NULL,NULL,0
FOOTHILLS TECHNICAL INSTITUTE,NULL,NULL,643
FOREST ECHOES TECHNICAL INSTITUTE,NULL,NULL,1019
National Park Community College,NULL,NULL,1325
University of Arkansas Community College-Batesville,NULL,NULL,1262
GREAT RIVERS VOCATIONAL TECHNICAL SCHOOL,NULL,NULL,429
HARDING UNIVERSITY GRADUATE SCHOOL OF RELIGION,NULL,NULL,3549
Harding University,NULL,NULL,5628
Henderson State University,NULL,NULL,2523
Hendrix College,NULL,NULL,6799
Hot Springs Beauty College,NULL,NULL,NULL
Jefferson Regional Medical Center School of Nursing,NULL,NULL,372
John Brown University,NULL,NULL,5907
Lees School of Cosmetology,NULL,NULL,50639
Career Academy of Hair Design,NULL,NULL,2485
MARSHA KAY BEAUTY COLLEGE,NULL,NULL,592
Academy of Salon and Spa,NULL,NULL,2647
Arkansas State University Mid-South,NULL,NULL,1734
Arkansas Northeastern College,NULL,NULL,1200
New Tyler Barber College Inc,NULL,NULL,0
North Arkansas College,NULL,NULL,1364
Northwest Technical Institute,NULL,NULL,402
Ouachita Baptist University,NULL,NULL,4734
College of the Ouachitas,NULL,NULL,1530
Ozarka College,NULL,NULL,1122
University of the Ozarks,NULL,NULL,5092
University of Arkansas Community College-Morrilton,NULL,NULL,1415
Philander Smith College,NULL,NULL,4167
Phillips Community College of the University of Arkansas,NULL,NULL,1300
Southeast Arkansas College,NULL,NULL,9199
Professional Cosmetology Education Center,NULL,NULL,NULL
Pulaski Technical College,NULL,NULL,1474
QUAPAW TECHNICAL INSTITUTE,NULL,NULL,1382
University of Arkansas Community College-Hope,NULL,NULL,1169
Rich Mountain Community College,NULL,NULL,1427
Paul Mitchell the School-Arkansas,NULL,NULL,4126
Searcy Beauty College,NULL,NULL,78089
Williams Baptist College,NULL,NULL,3481
SOUTHERN INSTITUTE OF COSMETOLOGY,NULL,NULL,NULL
South Arkansas Community College,NULL,NULL,1397
Southern Arkansas University Main Campus,NULL,NULL,2445
Southern Arkansas University Tech,NULL,NULL,1149
Velvatex College of Beauty Culture,NULL,NULL,NULL
University of Arkansas-Fort Smith,NULL,NULL,1677
Academy of Art University,NULL,NULL,11160
ITT Technical Institute-Rancho Cordova,NULL,NULL,10869
Academy of Chinese Culture and Health Sciences,NULL,NULL,1530
ACADEMY OF COURT REPORTING INC,NULL,NULL,92727
The Academy of Radio and TV Broadcasting,NULL,NULL,38597
ACADEMY PACIFIC TRAVEL COLLEGE,NULL,NULL,2507
Avalon School of Cosmetology-Alameda,NULL,NULL,5244
College of Alameda,NULL,NULL,393
Allan Hancock College,NULL,NULL,384
American Academy of Dramatic Arts-Los Angeles,NULL,NULL,527349
American Baptist Seminary of the West,NULL,NULL,2775
American Film Institute Conservatory,NULL,NULL,11633
American Beauty College,NULL,NULL,1721
