INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4671,0.0402,3519
University of Alabama at Birmingham,9183,0.033,4982
Amridge University,155,0,6005
University of Alabama in Huntsville,4541,0.0396,4564
Alabama State University,4711,0.0028,3548
The University of Alabama,14807,0.0159,4395
Central Alabama Community College,1575,0.007,1905
Athens State University,2456,0,2653
Auburn University at Montgomery,4166,0.012,3336
Auburn University,18790,0.0084,12412
BESSEMER STATE TECHNICAL COLLEGE,1292,0,1628
Birmingham Southern College,1338,0.0007,NULL
SHELTON STATE COMMUNITY COLLEGE-C A FREDD CAMPUS,201,0,1455
Chattahoochee Valley Community College,1670,0,1810
Concordia College Alabama,681,0.0396,1213
DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE,455,0,1564
South University-Montgomery,240,0,8567
Enterprise State Community College,1402,0,1816
James H Faulkner State Community College,1656,0.0048,1918
Faulkner University,595,0.0084,4404
FAULKNER UNIVERSITY-BIRMINGHAM,581,0.0034,4393
FAULKNER UNIVERSITY,581,0.0034,4393
GADSDEN BUSINESS COLLEGE,131,0,9393
Gadsden State Community College,6715,0.0415,1808
GADSDEN BUSINESS COLLEGE-ANNISTON,128,0,9303
George C Wallace State Community College-Dothan,3948,0,1824
George C Wallace State Community College-Hanceville,1138,0.0062,1322
George C Wallace State Community College-Selma,1465,0,1787
HARRY M AYERS STATE TECHNICAL COLLEGE,923,0,1807
Herzing University-Birmingham,531,0,7202
Huntingdon College,610,0.0344,5131
Heritage Christian University,123,0.1057,6422
J F Drake State Community and Technical College,605,0.0281,1766
Jacksonville State University,5806,0.0215,3223
Jefferson Davis Community College,1114,0,2394
Jefferson State Community College,4881,0.0436,2039
John C Calhoun State Community College,8041,0,1834
JOHN M PATTERSON STATE TECHNICAL COLLEGE,1085,0,1598
Judson College,345,0.0058,5896
Lawson State Community College-Birmingham Campus,1795,0,1794
University of West Alabama,1615,0.0087,3155
Lurleen B Wallace Community College,783,0,1870
Marion Military Institute,109,0,19206
Miles College,1637,0,5205
University of Mobile,1503,0.014,5825
University of Montevallo,2534,0.0185,3677
Northwest-Shoals Community College,4106,0.0156,1784
University of North Alabama,4023,0.0348,3191
Northeast Alabama Community College,1445,0,2560
Oakwood University,1778,0.1063,7368
Alabama Southern Community College,1172,0,1815
Prince Institute-Southeast,94,0,5240
Reid State Technical College,428,0,1586
Bishop State Community College,4060,0,1822
Samford University,2844,0.0049,8829
Shelton State Community College,4734,0,1806
Snead State Community College,1679,0,1562
University of South Alabama,4680,0.0596,4243
UNIVERSITY OF SOUTH ALABAMA-BALDWIN,4675,0.0595,4242
SOUTHERN COMMUNITY COLLEGE,84,0.0595,733
Spring Hill College,1205,0.0199,16139
Southeastern Bible College,140,0.0071,7063
Stillman College,1513,0,6237
Talladega College,540,0,5686
H Councill Trenholm State Community College,600,0,1671
TROY STATE UNIVERSITY DOTHAN,1477,0.0007,3625
TROY STATE UNIVERSITY-PHENIX CITY,4180,0.0306,4200
TROY STATE UNIVERSITY-MONTGOMERY,2527,0,3228
Troy University,4185,0.0308,4200
Tuskegee University,1054,0.0057,18618
United States Sports Academy,NULL,NULL,8668
Bevill State Community College,3338,0.0003,1831
University of Alaska Anchorage,7926,0.0286,3043
University of Alaska Fairbanks,4149,0.0183,3530
University of Alaska Southeast,1026,0.0263,2959
Alaska Pacific University,395,0.0152,12731
AVTEC-Alaska's Institute of Technology,220,0,2205
Charter College-Anchorage,386,0,5731
PRINCE WILLIAM SOUND COMMUNITY COLLEGE,106,0.0472,1357
SHELDON JACKSON COLLEGE,128,0,7061
Alaska Career College,388,0,5619
Everest College-Phoenix,240,0.0208,6409
Collins College,2052,0.0005,11523
Empire Beauty School-Paradise Valley,49,0,2852
Empire Beauty School-Tucson,174,0,4413
Thunderbird School of Global Management,NULL,NULL,24718
American Indian College Inc,62,0,4206
American Institute of Technology,198,0,9695
Carrington College-Phoenix,325,0,8733
Carrington College-Mesa,305,0,8494
Carrington College-Tucson,305,0,8246
CollegeAmerica-Flagstaff,15,0,8853
Arizona Academy of Beauty-East,35,0,3720
Arizona Automotive Institute,277,0,838708
Brookline College-Phoenix,249,0,5268
Arizona State University-Tempe,34095,0.0367,5281
Arizona Western College,3626,0.0014,1168
University of Arizona,26878,0.0417,10881
Southwest University of Visual Arts-Tucson,188,0.0106,NULL
SCOTT COLE ACADEMY,88,0.0341,7271
Central Arizona College,4990,0.003,1427
Brown Mackie College-Tucson,343,0.0029,6480
Charles of Italy Beauty College,35,0,1500
Cochise County Community College District,4046,0.0037,1384
Empire Beauty School-Flagstaff,48,0,4750
Empire Beauty School-Chandler,56,0,4307
Cortiva Institute-Tucson,66,0,7911
DEVOE COLLEGE OF BEAUTY,29,0,1238
DEVRY UNIVERSITY,2982,0.0084,5247
Avalon School of Cosmetology-Mesa,85,0,3149
Eastern Arizona College,2798,0.0043,826
Embry-Riddle Aeronautical University-Prescott,1707,0.0879,12673
Glendale Community College,3991,0.0078,1395
Grand Canyon University,1592,0.0245,7086
HIGH-TECH INSTITUTE,1189,0.0008,8292
International Academy of Hair Design,82,0,7409
LAMSON COLLEGE,130,0,7573
LONG TECHNICAL COLLEGE,285,0,7575
MARICOPA BEAUTY COLLEGE,91,0,1888
GateWay Community College,7096,0.0092,1860
Mesa Community College,7146,0.0111,1616
ITT Technical Institute-Tucson,128,0.0156,3078
ITT Technical Institute-Tempe,417,0.048,13756
Mohave Community College,102,0,923
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1247,0.0048,6911
MUNDUS INSTITUTE,60,0.0333,11815
Dine College,414,0,NULL
Northern Arizona University,13361,0.0139,3927
Northland Pioneer College,1700,0,866
Ottawa University-Phoenix,1363,0,5295
ARTISTIC BEAUTY COLLEGES-PHOENIX,139,0,3850
Phoenix College,4447,0.0126,1479
Cortiva Institute-Scottsdale,139,0,1165566
UNIVERSITY OF PHOENIX-PHOENIX CAMPUS,4544,0,9979
Pima Community College,18321,0.0068,1249
Pima Medical Institute-Tucson,648,0,2057
Pima Medical Institute-Albuquerque,447,0,2494
Prescott College,767,0.0039,6547
Refrigeration School Inc,230,0,122705
Rio Salado College,1045,0.001,1505
Roberto-Venn School of Luthiery,33,0.0606,447322
Hair Academy of Safford,41,0,10676
Scottsdale Community College,1853,0.0081,1787
South Mountain Community College,925,0.0076,1707
ARIZONA PARALEGAL TRAINING PROGRAM,NULL,NULL,772388
Arizona Christian University,71,0,6213
Tucson College,158,0.0063,27
Universal Technical Institute of Arizona Inc,1777,0.0017,2926
METROPOLITAN COLLEGE OF COURT REPORTING,107,0,2509
Western International University,83,0.012,59801
Empire Beauty School-NW Phoenix,91,0,3549
Yavapai College,3440,0.0009,2229
University of Arkansas at Little Rock,9119,0.0257,7643
University of Arkansas for Medical Sciences,673,0,6464
ABC Beauty College Inc,18,0,9506
Arkansas Baptist College,79,0,3352
Arkansas Beauty School-Little Rock,30,0,1447
Lyon College,514,0.0525,4341
Arkansas College of Barbering and Hair Design,51,0,4196
Arthur's Beauty College Inc-Fort Smith,43,0.2093,1399
University of Arkansas,12499,0.0308,5287
University of Arkansas at Pine Bluff,2941,0.0092,3050
Arkansas State University-Beebe,2193,0.0005,1840
Arkansas State University-Main Campus,9167,0.0115,3346
Arkansas Tech University,5042,0.0149,2676
ARKANSAS VALLEY TECHNICAL INSTITUTE,463,0,NULL
University of Arkansas at Monticello,2067,0.001,2709
Arthur's Beauty College Inc-Jacksonville,137,0,2630
Baptist Health College-Little Rock,614,0,24888
BEE JAYS ACADEMY,16,0,3259
Black River Technical College,1227,0,1705
University of Central Arkansas,7316,0.0212,3226
Central Baptist College,356,0.0112,5968
BLYTHEVILLE ACADEMY OF COSMETOLOGY,37,0,1846
Cossatot Community College of the University of Arkansas,588,0,5419
COTTON BOLL TECHNICAL INSTITUTE,299,0,668
Crowley's Ridge College,152,0.0066,5654
Crowley's Ridge Technical Institute,223,0,279
DE LUXE BEAUTY SCHOOL,25,0,NULL
East Arkansas Community College,1056,0,1174
Eastern College of Health Vocations-Little Rock,236,0,14241
Imagine-Paul Mitchell Partner School,19,0,0
FOOTHILLS TECHNICAL INSTITUTE,246,0,765
FOREST ECHOES TECHNICAL INSTITUTE,154,0,792
National Park Community College,1058,0.0009,1397
University of Arkansas Community College-Batesville,925,0.0011,39898
GREAT RIVERS TECHNICAL INSTITUTE,169,0,1227
HARDING UNIVERSITY GRADUATE SCHOOL OF RELIGION,NULL,NULL,4688
Harding University,4078,0.0559,6104
Henderson State University,2674,0.0284,2990
Hendrix College,967,0.0134,8239
Hot Springs Beauty College,46,0,811
Jefferson Regional Medical Center School of Nursing,47,0,406
John Brown University,1485,0.0862,6207
Lees School of Cosmetology,39,0,958
Career Academy of Hair Design,65,0,1791
MARSHA KAY BEAUTY COLLEGE,14,0,1060
Academy of Salon and Spa,25,0,3337
Arkansas State University Mid-South,753,0.0159,1739
Arkansas Northeastern College,1046,0,1212
Margaret's Hair Academy Inc,19,0,0
New Tyler Barber College Inc,64,0,2856
North Arkansas College,1478,0,1364
