INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,5071,0.028,4000
University of Alabama at Birmingham,10854,0.0301,4198
Amridge University,349,0,7702
University of Alabama in Huntsville,5125,0.0318,4389
Alabama State University,4624,0.0028,3860
The University of Alabama,16202,0.0114,4660
Central Alabama Community College,2022,0,1101
Athens State University,2435,0,1849
Auburn University at Montgomery,4340,0.0092,3510
Auburn University,18879,0.0076,6728
BESSEMER STATE TECHNICAL COLLEGE,870,0,1222
Birmingham Southern College,1356,0.0015,16291
SHELTON STATE COMMUNITY COLLEGE-C A FREDD CAMPUS,296,0,5013
Chattahoochee Valley Community College,1660,0.0006,1344
Concordia College Alabama,905,0.021,1873
South University-Montgomery,354,0.0028,12277
Enterprise State Community College,1692,0,1604
James H Faulkner State Community College,3120,0,2124
Faulkner University,2274,0.0018,5753
GADSDEN BUSINESS COLLEGE,202,0,7345
Gadsden State Community College,5549,0.033,1968
George C Wallace State Community College-Dothan,3616,0,1415
George C Wallace State Community College-Hanceville,4592,0,1542
George C Wallace State Community College-Selma,1650,0,1698
Herzing University-Birmingham,387,0,8281
Huntingdon College,720,0.025,7136
Heritage Christian University,105,0.0857,7618
J F Drake State Community and Technical College,775,0,1754
Jacksonville State University,6965,0.0103,3479
Jefferson Davis Community College,1193,0,768
Jefferson State Community College,5660,0.0191,1947
John C Calhoun State Community College,8879,0,1921
Judson College,360,0.0139,6451
Lawson State Community College-Birmingham Campus,2255,0.0009,936
University of West Alabama,1628,0.0098,4454
Lurleen B Wallace Community College,1348,0,1163
Marion Military Institute,194,0,16385
Miles College,1715,0.0006,5154
University of Mobile,1520,0.0309,6688
University of Montevallo,2565,0.0179,3872
Northwest-Shoals Community College,4338,0.0053,1630
University of North Alabama,4798,0.0392,3774
Northeast Alabama Community College,1698,0,1223
Oakwood University,1753,0.0793,8743
Alabama Southern Community College,1235,0,1090
Prince Institute-Southeast,59,0,5386
Reid State Technical College,518,0,1030
Bishop State Community College,4034,0,1238
Samford University,2811,0.0046,11078
Shelton State Community College,4663,0,1050
Snead State Community College,1692,0,1082
University of South Alabama,10136,0.0458,3300
SOUTHERN COMMUNITY COLLEGE,87,0.092,3555
Spring Hill College,1174,0.0136,8615
Southeastern Bible College,256,0.0078,0
Stillman College,1116,0.0054,6835
Talladega College,362,0,4851
H Councill Trenholm State Community College,1501,0,1433
TROY STATE UNIVERSITY DOTHAN,1470,0,3962
TROY STATE UNIVERSITY-MONTGOMERY,3358,0,4406
Troy University,13253,0.0214,4769
Tuskegee University,2480,0.006,11205
United States Sports Academy,16,0,10808
Bevill State Community College,3928,0.0003,1232
University of Alaska Anchorage,9861,0.0241,3255
University of Alaska Fairbanks,4793,0.0194,3496
University of Alaska Southeast,1208,0.0224,3339
Alaska Pacific University,414,0.0048,10285
AVTEC-Alaska's Institute of Technology,384,0,2571
Charter College-Anchorage,400,0,11438
PRINCE WILLIAM SOUND COMMUNITY COLLEGE,122,0.0328,1104
SHELDON JACKSON COLLEGE,140,0,7918
Alaska Career College,262,0,10857
Everest College-Phoenix,650,0,10586
Collins College,2065,0,4503
Empire Beauty School-Paradise Valley,62,0,4418
Empire Beauty School-Tucson,131,0,3802
Thunderbird School of Global Management,NULL,NULL,23229
American Indian College Inc,70,0.0143,4591
American Institute of Technology,322,0,9550
Carrington College-Phoenix,729,0,5914
Carrington College-Mesa,724,0,5924
Carrington College-Tucson,636,0,5929
CollegeAmerica-Flagstaff,172,0,6951
Arizona Academy of Beauty-East,71,0,3077
Arizona Automotive Institute,823,0,13225
Brookline College-Phoenix,438,0,8017
Arizona State University-Tempe,38117,0.0288,5449
Arizona Western College,5130,0.0062,608
University of Arizona,27853,0.0295,6463
Southwest University of Visual Arts-Tucson,304,0,6180
TONI & GUY HAIRDRESSING ACADEMY,50,0.02,3491
Central Arizona College,4249,0.0049,868
Brown Mackie College-Tucson,406,0.0567,4977
Charles of Italy Beauty College,59,0.0169,16287
Cochise County Community College District,3289,0.0046,838
Empire Beauty School-Flagstaff,44,0,4920
Empire Beauty School-Chandler,157,0,4824
Cortiva Institute-Tucson,161,0,9116
DEVOE COLLEGE OF BEAUTY,48,0,2135
DEVRY UNIVERSITY-ARIZONA,1640,0.0043,9569
Avalon School of Cosmetology-Mesa,185,0.0054,2677
Eastern Arizona College,2995,0.0087,846
Embry-Riddle Aeronautical University-Prescott,1631,0.0307,13656
Glendale Community College,4431,0.0061,1155
Grand Canyon University,1665,0.0084,6148
HIGH-TECH INSTITUTE-PHOENIX,1435,0,49918
International Academy of Hair Design,241,0,1226
LAMSON COLLEGE,238,0,14534
LONG TECHNICAL COLLEGE,359,0,99
MARICOPA BEAUTY COLLEGE,55,0,3549
GateWay Community College,7206,0.0074,858
Mesa Community College,7966,0.0051,1385
