INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4704,0.0238,4707
University of Alabama at Birmingham,10381,0.0214,4862
Amridge University,343,0,10986
University of Alabama in Huntsville,5562,0.0327,5000
Alabama State University,4647,0.0034,4992
The University of Alabama,20910,0.008,7079
Central Alabama Community College,2177,0,1436
Athens State University,2858,0,2112
Auburn University at Montgomery,4352,0.0005,4066
Auburn University,19799,0.0057,8945
Birmingham Southern College,1339,0.0022,11521
Chattahoochee Valley Community College,1579,0.0013,1640
Concordia College Alabama,555,0.045,1958
South University-Montgomery,504,0,13995
Enterprise State Community College,2020,0,1773
James H Faulkner State Community College,3521,0.0014,1916
Faulkner University,2478,0.0036,7546
Gadsden State Community College,5295,0.0204,1762
George C Wallace State Community College-Dothan,3546,0.0034,1718
George C Wallace State Community College-Hanceville,4883,0.0004,1739
George C Wallace State Community College-Selma,1531,0,1736
Herzing University-Birmingham,371,0,8721
Huntingdon College,943,0.0053,7485
Heritage Christian University,65,0.0615,8249
J F Drake State Community and Technical College,680,0,1155
Jacksonville State University,7143,0.022,4573
Jefferson Davis Community College,1092,0,844
Jefferson State Community College,6404,0.0137,2464
John C Calhoun State Community College,9117,0,2256
Judson College,311,0.0129,3966
Lawson State Community College-Birmingham Campus,3170,0,1045
University of West Alabama,1821,0.006,4408
Lurleen B Wallace Community College,1370,0,1261
Marion Military Institute,353,0,6725
Miles College,1207,0,5430
University of Mobile,1346,0.0238,7223
University of Montevallo,2471,0.0202,4794
Northwest-Shoals Community College,3098,0.0023,1459
University of North Alabama,5424,0.0844,4965
Northeast Alabama Community College,1960,0,1880
Oakwood University,1824,0.0652,9725
Alabama Southern Community College,1165,0,1365
Prince Institute-Southeast,59,0,220839
Reid State Technical College,489,0,1266
Bishop State Community College,2166,0,846
Samford University,2841,0.0042,13570
Shelton State Community College,4952,0.0006,2100
Snead State Community College,2131,0.0005,1489
University of South Alabama,10459,0.0487,4119
Spring Hill College,1311,0.0069,9024
Southeastern Bible College,213,0.0094,9022
Stillman College,915,0,8071
Talladega College,350,0,4640
H Councill Trenholm State Community College,1331,0,1328
Troy University,21042,0.0185,6653
Tuskegee University,2515,0.0115,11058
United States Sports Academy,97,0,12267
Bevill State Community College,3804,0,1472
University of Alaska Anchorage,10323,0.0232,4422
University of Alaska Fairbanks,4744,0.0242,4852
University of Alaska Southeast,1108,0.019,4697
Alaska Pacific University,451,0.0044,9365
AVTEC-Alaska's Institute of Technology,603,0.0017,3105
Charter College-Anchorage,516,0,13093
Prince William Sound Community College,133,0.0677,1362
Alaska Career College,305,0,5831
Everest College-Phoenix,552,0.0036,10641
Collins College,1502,0,14267
Empire Beauty School-Paradise Valley,51,0.0196,7017
Empire Beauty School-Tucson,254,0.0079,7380
Thunderbird School of Global Management,NULL,NULL,43670
American Indian College Inc,66,0,6061
American Institute of Technology,490,0,9527
Carrington College-Phoenix,3166,0,7228
CollegeAmerica-Flagstaff,198,0,13645
Arizona Academy of Beauty-East,47,0,6261
Arizona Automotive Institute,122,0,39499
Brookline College-Phoenix,586,0,18137
Arizona State University-Tempe,38597,0.0251,7900
Arizona Western College,6056,0.1258,817
University of Arizona,28674,0.0251,5979
Southwest University of Visual Arts-Tucson,310,0,9919
Toni & Guy Hairdressing Academy,301,0,6342
Central Arizona College,3259,0.0055,1349
Brown Mackie College-Tucson,298,0.0638,7161
Charles of Italy Beauty College,59,0,4993
Cochise County Community College District,2897,0.001,566
Empire Beauty School-Flagstaff,52,0,6190
Empire Beauty School-Chandler,167,0,6775
Cortiva Institute-Tucson,151,0,9400
DeVry University-Arizona,1225,0.0065,14191
Avalon School of Cosmetology-Mesa,255,0.0235,3172
Eastern Arizona College,3058,0.0095,852
Embry-Riddle Aeronautical University-Prescott,1667,0.036,28867
Glendale Community College,4477,0.0118,1716
Grand Canyon University,4803,0.0073,9450
Anthem College,5742,0,12708
International Academy of Hair Design,203,0,8335
Lamson College,457,0,11902
Kaplan College,427,0,1532
Maricopa Beauty College LLC,57,0,3962
GateWay Community College,6130,0.0054,1803
Mesa Community College,6674,0.0079,1851
ITT Technical Institute-Tucson,496,0,10154
ITT Technical Institute-Tempe,762,0,13220
Mohave Community College,5093,0,1167
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2315,0.0009,8854
Dine College,1631,0,518
Northern Arizona University,15360,0.0236,3305
Northland Pioneer College,1162,0,617
Ottawa University-Phoenix,658,0,2441
Artistic Beauty Colleges-NW Phoenix,158,0,7490
Phoenix College,4262,0.0047,1655
Cortiva Institute-Scottsdale,311,0,3459
University of Phoenix-Phoenix-Hohokam Campus,3709,0.0561,5959
Pima Community College,28517,0.0128,1421
Pima Medical Institute-Tucson,900,0,6150
Pima Medical Institute-Albuquerque,716,0,4135
Prescott College,666,0.0075,9590
Refrigeration School Inc,369,0,6531
Rio Salado College,1222,0,2215
Roberto-Venn School of Luthiery,35,0.0286,10225
Hair Academy of Safford,53,0,545
Scottsdale Community College,2729,0.0132,2263
South Mountain Community College,1592,0.0019,1477
Arizona Christian University,355,0.0169,9187
Tucson College,608,0,11238
Universal Technical Institute of Arizona Inc,2356,0.0004,5993
Western International University,8170,0.0328,8744
Empire Beauty School-NW Phoenix,195,0,7347
Yavapai College,4718,0.0049,1904
University of Arkansas at Little Rock,8908,0.0143,4690
University of Arkansas for Medical Sciences,833,0.0072,6269
ABC Beauty College Inc,39,0,5158
Arkansas Baptist College,602,0.005,1438
Arkansas Beauty School-Little Rock,41,0,84
Arkansas Beauty College,36,0,1174
Lyon College,469,0.0171,6103
Arkansas College of Barbering and Hair Design,104,0,4865
Arthur's Beauty College Inc-Fort Smith,43,0,4787
University of Arkansas,14442,0.0229,5111
University of Arkansas at Pine Bluff,3048,0.0049,2085
Arkansas State University-Beebe,3301,0.0015,1501
Arkansas State University-Main Campus,9087,0.0066,3170
Arkansas Tech University,6558,0.0314,3027
University of Arkansas at Monticello,2715,0.0029,1601
Arthur's Beauty College Inc-Jacksonville,57,0,9896
Baptist Health College-Little Rock,884,0,294
Bee Jays Academy,43,0,2141
Black River Technical College,1587,0,988
University of Central Arkansas,9921,0.0428,4099
Central Baptist College,568,0.0229,4892
Blytheville Academy of Cosmetology,28,0,27
Cossatot Community College of the University of Arkansas,743,0,965
Crowley's Ridge College,119,0,6003
Crowley's Ridge Technical Institute,251,0,471
De Luxe Beauty School,12,0,2232
East Arkansas Community College,1121,0,1006
Eastern College of Health Vocations-Little Rock,287,0,4444
National Park Community College,2503,0.0004,1025
University of Arkansas Community College-Batesville,1286,0.0031,1065
Harding University,4094,0.0501,8207
Henderson State University,3092,0.0246,4669
Hendrix College,1189,0.0135,8587
Hot Springs Beauty College,29,0,4929
