INSTNM,UGDS,UGDS_NRA,TUITFTE
Northland Pioneer College,936,0,NULL
Ottawa University-Phoenix,960,0,NULL
PHOENIX ACADEMY OF BEAUTY,102,0,NULL
Phoenix College,3835,0.0094,NULL
Cortiva Institute-Scottsdale,84,0,NULL
UNIVERSITY OF PHOENIX-PHOENIX CAMPUS,4444,0,NULL
Pima Community College,26429,0.0183,NULL
Pima Medical Institute-Tucson,206,0,NULL
Pima Medical Institute-Albuquerque,46,0,NULL
Prescott College,767,0.0183,NULL
Refrigeration School Inc,262,0,NULL
Rio Salado College,1018,0.0029,NULL
Roberto-Venn School of Luthiery,27,0.2222,NULL
PARKS COLLEGE,13,0,NULL
Scottsdale Community College,1721,0.0192,NULL
South Mountain Community College,1328,0.0023,NULL
ARIZONA PARALEGAL TRAINING PROGRAM,0,0,NULL
Arizona Christian University,216,0.0231,NULL
Tucson College,150,0,NULL
Universal Technical Institute of Arizona Inc,2231,0,NULL
METROPOLITAN COLLEGE OF COURT REPORTING,88,0,NULL
Western International University,933,0.0879,NULL
Empire Beauty School-NW Phoenix,77,0.013,NULL
Yavapai College,1622,0.016,NULL
University of Arkansas at Little Rock,8411,0.0334,NULL
University of Arkansas for Medical Sciences,539,0.0056,NULL
ABC Beauty College Inc,18,0,NULL
Arkansas Baptist College,199,0,NULL
Arkansas Beauty School-Little Rock,35,0.0286,NULL
Lyon College,500,0.048,NULL
Arkansas College of Barbering and Hair Design,49,0,NULL
Arthur's Beauty College Inc-Fort Smith,67,0.2388,NULL
University of Arkansas,11483,0.0269,NULL
University of Arkansas at Pine Bluff,2687,0.0004,NULL
Arkansas State University-Beebe,2496,0.0008,NULL
Arkansas State University-Main Campus,8983,0.0254,NULL
Arkansas Tech University,4062,0.0103,NULL
ARKANSAS VALLEY TECHNICAL INSTITUTE,883,0,NULL
University of Arkansas at Monticello,1987,0.002,NULL
Arthur's Beauty College Inc-Jacksonville,35,0,NULL
Baptist Health College-Little Rock,495,0,NULL
BEE JAYS ACADEMY,20,0,NULL
Black River Technical College,1026,0,NULL
University of Central Arkansas,7561,0.0344,NULL
Central Baptist College,295,0.0339,NULL
BLYTHEVILLE ACADEMY OF COSMETOLOGY,0,0,NULL
Cossatot Community College of the University of Arkansas,475,0.0021,NULL
COTTON BOLL TECHNICAL INSTITUTE,213,0,NULL
Crowley's Ridge College,157,0,NULL
Crowley's Ridge Technical Institute,230,0,NULL
DE LUXE BEAUTY SCHOOL,32,0,NULL
DELTA TECHNICAL INSTITUTE,1245,0.0145,NULL
East Arkansas Community College,963,0.001,NULL
Eastern College of Health Vocations-Little Rock,188,0,NULL
Imagine-Paul Mitchell Partner School,13,0,NULL
FOOTHILLS TECHNICAL INSTITUTE,200,0.005,NULL
FOREST ECHOES TECHNICAL INSTITUTE,316,0,NULL
National Park Community College,1797,0.0039,NULL
University of Arkansas Community College-Batesville,379,0.0053,NULL
GREAT RIVERS VOCATIONAL TECHNICAL SCHOOL,170,0,NULL
HARDING UNIVERSITY GRADUATE SCHOOL OF RELIGION,NULL,NULL,NULL
Harding University,3573,0.0655,NULL
Henderson State University,3207,0.0084,NULL
Hendrix College,1034,0.0087,NULL
Hot Springs Beauty College,44,0,NULL
Jefferson Regional Medical Center School of Nursing,117,0,NULL
John Brown University,1273,0.0809,NULL
Lees School of Cosmetology,38,0,NULL
Career Academy of Hair Design,30,0,NULL
MARCEL-ROYALE BEAUTY ACADEMY,25,0,NULL
MARSHA KAY BEAUTY COLLEGE,13,0,NULL
Academy of Salon and Spa,23,0,NULL
Arkansas State University Mid-South,700,0,NULL
Arkansas Northeastern College,1062,0,NULL
New Tyler Barber College Inc,75,0,NULL
North Arkansas College,1334,0,NULL
NORTHWEST ARKANSAS COLLEGE OF COSMETOLOGY,19,0,NULL
Northwest Technical Institute,1163,0,NULL
Ouachita Baptist University,1619,0.0519,NULL
College of the Ouachitas,461,0,NULL
Ozarka College,715,0,NULL
University of the Ozarks,520,0.1231,NULL
University of Arkansas Community College-Morrilton,655,0,NULL
Philander Smith College,839,0.0274,NULL
Phillips Community College of the University of Arkansas,778,0,NULL
Southeast Arkansas College,1311,0,NULL
PROFESSIONAL BEAUTY COLLEGE INC,25,0,NULL
Professional Cosmetology Education Center,56,0,NULL
Pulaski Technical College,2094,0,NULL
QUAPAW TECHNICAL INSTITUTE,221,0,NULL
University of Arkansas Community College-Hope,847,0,NULL
Rich Mountain Community College,377,0,NULL
Paul Mitchell the School-Arkansas,45,0,NULL
Searcy Beauty College,57,0,NULL
Shorter College,171,0.1696,NULL
Williams Baptist College,708,0.0339,NULL
SOUTHERN INSTITUTE OF COSMETOLOGY,54,0,NULL
REMINGTON COLLEGE,0,0,NULL
South Arkansas Community College,888,0,NULL
Southern Arkansas University Main Campus,2309,0.0351,NULL
Southern Arkansas University Tech,430,0,NULL
University of Arkansas-Fort Smith,4322,0.0005,NULL
Academy of Art University,4178,0.2798,NULL
ITT Technical Institute-Rancho Cordova,480,0.1188,NULL
ACADEMY OF COURT REPORTING INC,120,0,NULL
The Academy of Radio and TV Broadcasting,64,0,NULL
ACADEMY PACIFIC BUSINESS AND TRAVEL COLLEGE,366,0.0055,NULL
Avalon School of Cosmetology-Alameda,59,0,NULL
College of Alameda,2343,0.0256,NULL
Allan Hancock College,4995,0.0076,NULL
American Academy of Dramatic Arts-Los Angeles,184,0.0924,NULL
American Baptist Seminary of the West,NULL,NULL,NULL
American Film Institute Conservatory,NULL,NULL,NULL
American Beauty College,41,0,NULL
AMERICAN INTERCONTINENTAL UNIVERSITY,547,0.6234,NULL
American Career College-Los Angeles,723,0.0166,NULL
American Conservatory Theater,7,0,NULL
American River College,12536,0.0119,NULL
BRYMAN COLLEGE NORTH CAMPUS,309,0,NULL
Antelope Valley College,4851,0.0037,NULL
Art Center College of Design,1334,0.2616,NULL
Associated Technical College-Los Angeles,345,0,NULL
Associated Technical College-San Diego,108,0,NULL
ASSOCIATED TECHNICAL COLLEGE,92,0,NULL
Azusa Pacific University,2594,0.0478,NULL
Bakersfield College,8110,0.0073,NULL
Barstow Community College,1408,0.0007,NULL
Bellus Academy-National City,91,0,NULL
BETHANY COLLEGE OF THE ASSEMBLIES OF GOD,527,0.0057,NULL
Biola University,2147,0.0419,NULL
BJORNS HAIRSTYLING ACADEMY,25,0,NULL
BROOKS COLLEGE,1131,0.015,NULL
Brooks Institute,295,0.2847,NULL
Brownson Technical School,41,0,NULL
Bryan University,348,0,NULL
Butte College,6659,0.0269,NULL
Phillips Graduate Institute,NULL,NULL,NULL
California Institute of Integral Studies,54,0,NULL
CALIFORNIA PARAMEDICAL AND TECHNICAL COLLEGE,487,0,NULL
Cabrillo College,5677,0.0144,NULL
California Baptist University,1668,0,NULL
California College of the Arts,991,0.113,NULL
University of California-Hastings College of Law,NULL,NULL,NULL
California Institute of Technology,904,0.0929,NULL
California Lutheran University,1662,0.0535,NULL
California Polytechnic State University-San Luis Obispo,15761,0.0065,NULL
CALIFORNIA SCHOOL OF PROFESSIONAL PSYCH-FRESNO,NULL,NULL,NULL
CALIFORNIA SCHOOL OF PROFESSIONAL PSYCH-LA,NULL,NULL,NULL
Alliant International University-San Diego,NULL,NULL,NULL
CALIFORNIA SCHOOL OF PROFESSIONAL PSYCH-ALAMEDA,NULL,NULL,NULL
California State University-Bakersfield,4309,0.0181,NULL
California State University-Stanislaus,4886,0.0162,NULL
California State University-San Bernardino,9471,0.0228,NULL
California State Polytechnic University-Pomona,15073,0.0438,NULL
California State University-Chico,12506,0.0213,NULL
California State University-Dominguez Hills,7219,0.0212,NULL
California State University-Fresno,14757,0.0361,NULL
California State University-Fullerton,20743,0.0412,NULL
California State University-East Bay,9742,0.0314,NULL
California State University-Long Beach,22348,0.0355,NULL
California State University-Los Angeles,13742,0.041,NULL
California State University-Northridge,21808,0.0312,NULL
California State University-Sacramento,18639,0.0218,NULL
University of California-Berkeley,21618,0.0371,NULL
University of California-Davis,19002,0.0129,NULL
University of California-Irvine,14104,0.0331,NULL
University of California-Los Angeles,23924,0.0273,NULL
University of California-Riverside,8378,0.0154,NULL
University of California-San Diego,15103,0.0109,NULL
University of California-San Francisco,35,0,NULL
University of California-Santa Barbara,16698,0.0128,NULL
University of California-Santa Cruz,9562,0.0074,NULL
Sofia University,NULL,NULL,NULL
California Beauty School,69,0,NULL
CALIFORNIA BUSINESS INSTITUTE,132,0,NULL
California Christian College,94,0.4681,NULL
CALIFORNIA COLLEGE FOR HEALTH SCIENCES,98,0.0102,NULL
CALIFORNIA COLLEGE OF PODIATRIC MEDICINE,NULL,NULL,NULL
Le Cordon Bleu College of Culinary Arts-San Francisco,581,0,NULL
California Hair Design Academy,68,0,NULL
California Institute of the Arts,724,0.0829,NULL
The California Maritime Academy,374,0.016,NULL
CALIFORNIA PARAMEDICAL AND TECHNICAL COLLEGE,209,0,NULL
California Western School of Law,NULL,NULL,NULL
Canada College,2399,0.0571,NULL
College of the Canyons,1431,0.0175,NULL
Career Academy of Beauty,95,0,NULL
Casa Loma College-Van Nuys,130,0,NULL
CET-San Diego,61,0,NULL
CET-Sobrato,416,0,NULL
CET-El Centro,147,0,NULL
CET-San Bernardino,110,0,NULL
CET-Watsonville,95,0,NULL
CET-Gilroy,54,0,NULL
CET-Salinas,36,0,NULL
Cerritos College,15898,0.0157,NULL
Cerro Coso Community College,1946,0.0041,NULL
Chabot College,8583,0.0311,NULL
Chaffey College,9506,0.0266,NULL
Chapman University,2400,0.0467,NULL
Charles R Drew University of Medicine and Science,139,0,NULL
Concordia University-Irvine,661,0.0499,NULL
San Diego Christian College,617,0.0162,NULL
Church Divinity School of the Pacific,NULL,NULL,NULL
Citrus College,9324,0.0498,NULL
City College of San Francisco,11774,0.0122,NULL
Claremont Graduate University,NULL,NULL,NULL
Claremont McKenna College,979,0.0409,NULL
Milan Institute-Visalia,170,0,NULL
CLEVELAND CHIROPRACTIC COLLEGE OF LOS ANGELES,NULL,NULL,NULL
Clovis Adult Education,268,0.0037,NULL
