INSTNM,UGDS,UGDS_NRA,TUITFTE
Alabama A & M University,4332,0.0427,3028
University of Alabama at Birmingham,9532,0.0321,4228
Amridge University,97,0,6111
University of Alabama in Huntsville,4526,0.0415,3963
Alabama State University,4588,0.0052,2528
The University of Alabama,14357,0.0207,4282
Central Alabama Community College,1603,0.0062,1112
Athens State University,2790,0,1754
Auburn University at Montgomery,4400,0.0057,2672
Auburn University,18616,0.0059,4348
BESSEMER STATE TECHNICAL COLLEGE,1245,0,901
Birmingham Southern College,1442,0.0062,13254
SHELTON STATE COMMUNITY COLLEGE-C A FREDD CAMPUS,2041,0.0216,NULL
Chattahoochee Valley Community College,1610,0,1653
CHAUNCEY SPARKS STATE TECHNICAL COLLEGE,513,0,1230
Concordia College Alabama,525,0.0667,4036
DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE,555,0,926
South University-Montgomery,208,0,7991
Enterprise State Community College,1433,0.0007,1079
James H Faulkner State Community College,2649,0.0023,1693
Faulkner University,2199,0.0027,3771
FAULKNER UNIVERSITY-BIRMINGHAM,84,0,1312
FAULKNER UNIVERSITY,84,0,1914
GADSDEN BUSINESS COLLEGE,145,0,2725
Gadsden State Community College,4649,0.0351,1682
GADSDEN BUSINESS COLLEGE-ANNISTON,150,0,3286
George C Wallace State Community College-Dothan,2609,0.0042,1853
George C Wallace State Community College-Hanceville,4244,0.0002,1200
George C Wallace State Community College-Selma,1379,0,1626
HARRY M AYERS STATE TECHNICAL COLLEGE,876,0,1469
Herzing University-Birmingham,464,0,6014
Huntingdon College,688,0.0349,5328
Heritage Christian University,135,0.0444,5246
J F Drake State Community and Technical College,574,0.0296,1322
Jacksonville State University,6599,0.0233,2939
Jefferson Davis Community College,1096,0,2049
Jefferson State Community College,2859,0.0402,1179
John C Calhoun State Community College,6381,0.0003,1757
JOHN M PATTERSON STATE TECHNICAL COLLEGE,922,0,1722
Judson College,292,0.0171,5396
Lawson State Community College-Birmingham Campus,1510,0,1921
University of West Alabama,1666,0.0078,2294
Lurleen B Wallace Community College,795,0.0013,1088
Marion Military Institute,143,0,18766
Miles College,1453,0,5522
University of Mobile,1772,0.0214,7080
University of Montevallo,2653,0.0155,3498
Northwest-Shoals Community College,3243,0.0102,1534
University of North Alabama,5099,0.0002,2671
Northeast Alabama Community College,1409,0,1235
Oakwood University,1736,0.125,7164
Alabama Southern Community College,1161,0,1563
Prince Institute-Southeast,103,0,4527
Reid State Technical College,603,0,1177
Bishop State Community College,3331,0.0012,1858
Samford University,2815,0.0075,8508
Shelton State Community College,4379,0,1755
Snead State Community College,1653,0,1411
University of South Alabama,8816,0.0529,4157
UNIVERSITY OF SOUTH ALABAMA-BALDWIN,5478,0.0009,2247
SOUTHERN COMMUNITY COLLEGE,42,0,2007
Spring Hill College,1153,0.0156,8496
Southeastern Bible College,181,0.0552,5776
Stillman College,1458,0.0075,7495
Talladega College,454,0.0022,5924
H Councill Trenholm State Community College,638,0.0016,1461
TROY STATE UNIVERSITY-DOTHAN,1479,0.0014,2251
TROY STATE UNIVERSITY-PHENIX CITY,3063,0.0199,9414
TROY STATE UNIVERSITY-MONTGOMERY,2619,0,2517
Troy University,3071,0.0205,9414
Tuskegee University,2616,0.0176,9826
United States Sports Academy,NULL,NULL,8929
Bevill State Community College,3223,0.0003,1477
University of Alaska Anchorage,7158,0.0335,1738
University of Alaska Fairbanks,3991,0.017,1591
University of Alaska Southeast,918,0.0349,1274
Alaska Pacific University,352,0.0227,7354
AVTEC-Alaska's Institute of Technology,201,0,1044
Charter College-Anchorage,380,0,8568
NEW CONCEPTS BEAUTY SCHOOL INC,18,0,2007
PRINCE WILLIAM SOUND COMMUNITY COLLEGE,99,0.0505,471
SHELDON JACKSON COLLEGE,235,0.0085,3727
Alaska Career College,131,0,7741
Everest College-Phoenix,314,0,9216
Collins College,1526,0,7254
Empire Beauty School-Paradise Valley,53,0,5816
Empire Beauty School-Tucson,92,0,4731
Thunderbird School of Global Management,NULL,NULL,20306
American Indian College Inc,76,0.0132,4185
American Institute of Technology,126,0,12896
Carrington College-Phoenix,228,0,17839
Carrington College-Mesa,210,0,14530
Carrington College-Tucson,210,0,10381
CollegeAmerica-Flagstaff,35,0,3617
Arizona Academy of Beauty-East,55,0.1091,413
Arizona Automotive Institute,347,0.0086,12837
Brookline College-Phoenix,264,0,2561
Arizona State University-Tempe,32927,0.0361,4730
Arizona Western College,3666,0.0011,961
University of Arizona,25363,0.0413,5650
Southwest University of Visual Arts-Tucson,344,0.0058,8466
SCOTT COLE ACADEMY,74,0,2082
Central Arizona College,2623,0.0095,1479
Brown Mackie College-Tucson,383,0,4962
Charles of Italy Beauty College,59,0,2573
Cochise County Community College District,3066,0.0091,1303
Empire Beauty School-Flagstaff,42,0,7168
Empire Beauty School-Chandler,30,0,6825
Cortiva Institute-Tucson,128,0,7781
DEVOE COLLEGE OF BEAUTY,26,0,1503
DEVRY INSTITUTE OF TECHNOLOGY,3664,0.0071,6896
Avalon School of Cosmetology-Mesa,92,0,2197
Eastern Arizona College,2852,0.0028,861
Glendale Community College,4862,0.0076,1348
Grand Canyon University,1534,0.0339,9445
HIGH-TECH INSTITUTE,1422,0,10434
International Academy of Hair Design,79,0,860
LAMSON JUNIOR COLLEGE,64,0,4124
LONG TECHNICAL COLLEGE,221,0,5296
MARICOPA BEAUTY COLLEGE,51,0,2941
GateWay Community College,6937,0.0042,1501
Mesa Community College,6553,0.0255,1417
ITT Technical Institute-Tucson,192,0.0781,7103
ITT Technical Institute-Tempe,369,0.0623,6489
Mohave Community College,1284,0,1097
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,740,0.0108,6487
MUNDUS INSTITUTE,54,0.0185,3526
Dine College,1881,0,569
Northern Arizona University,13686,0.014,3103
Northland Pioneer College,1655,0.0006,984
Ottawa University-Phoenix,960,0,5154
PHOENIX ACADEMY OF BEAUTY,126,0,2870
Phoenix College,3932,0.0173,1405
Cortiva Institute-Scottsdale,109,0,NULL
UNIVERSITY OF PHOENIX-PHOENIX CAMPUS,3131,0,7264
Pima Community College,23423,0.0119,1401
Pima Medical Institute-Tucson,148,0,6031
Pima Medical Institute-Albuquerque,37,0,4318
Prescott College,758,0.0066,7089
Refrigeration School Inc,223,0,4937
Rio Salado College,783,0.0102,1286
Roberto-Venn School of Luthiery,33,0.1818,6149
Scottsdale Community College,2022,0.0094,1671
South Mountain Community College,1193,0.0042,1607
ARIZONA PARALEGAL TRAINING PROGRAM,NULL,NULL,3038
Arizona Christian University,258,0.0116,5093
Tucson College,223,0,9047
Universal Technical Institute of Arizona Inc,2067,0,5687
METROPOLITAN COLLEGE OF COURT REPORTING,132,0,4450
Western International University,1076,0.0353,2354
Empire Beauty School-NW Phoenix,91,0,5835
Yavapai College,3381,0.0015,2199
University of Arkansas at Little Rock,7972,0.0307,3453
University of Arkansas for Medical Sciences,549,0.0073,5895
ABC Beauty College Inc,23,0,1007
Arkansas Baptist College,117,0,2880
Arkansas Beauty School-Little Rock,27,0,1505
Lyon College,462,0.0736,3446
Arkansas College of Barbering and Hair Design,49,0,1433
Arthur's Beauty College Inc-Fort Smith,50,0,2690
